season,order,contestant,song,artist,song_theme,result
Season_12,3,Lazaro Arbos,(They Long to Be) Close to You,Carpenters,Burt Bacharach And Hal David Song,Eliminated
Season_12,2,Janelle Arthur,When I Call Your Name,Vince Gill,Birth Year Songs,Eliminated
Season_05,5,Taylor Hicks,Play That Funky Music(Wild Cherry),Wild Cherry,Birth Year Song,Safe
Season_13,7,Sam Woolf,You're Still the One,Shania Twain,Country Song,Safe
Season_03,6,Diana DeGarmo,Because You Loved Me (Celine Dion) – Randy Jackson,Céline Dion,Second Song,Safe
Season_02,7,Kimberley Locke,Emotion,Samantha Sang,Second Song,Bottom Two
Season_11,11,Hollie Cavanagh,Like a Prayer / Borderline / Express Yourself,Mosaic Whispers,Duet Song,Bottom three
Season_03,6,Fantasia Barrino,I Believe,The Darkness,Third Song,Winner
Season_13,12,Alex Preston,Yellow,Coldplay,Make Up Song,Safe
Season_13,5,Caleb Johnson,Travelin Band,Creedence Clearwater Revival,Dedication Song,Safe
Season_03,9,Fantasia Barrino,Crazy Little Thing Called Love,Queen,First Song,Safe
Season_10,2,Lauren Alaina,Where You Lead,Carole King,Carole King Song,Safe
Season_15,4,Tristan McIntosh,I Don't Wanna Miss a Thing,with Lee Jean,Duet Song,Eliminated
Season_13,3,Alex Preston,Just Give Me a Reason,"P!nk,Nate Ruess",Duet Song,Safe
Season_16,11,Jurnee,Back at One,Brian McKnight,Birth Year Song,Eliminated
Season_16,8,Michael J. Woodard,Still I Rise,"Young Wicked,Jamie Madrox,Rittz",Mother Day Song,Eliminated
Season_03,2,Fantasia Barrino,All My Life,K-Ci & JoJo,First Song,Winner
Season_11,7,Jessica Sanchez,Dance with My Father,Orleans,Solo Song,Safe
Season_12,10,Amber Holcomb,What Are You Doing the Rest of Your Life?,Frank Sinatra,Diva Song,Safe
Season_03,4,Fantasia Barrino,Summertime,Abbie Mitchell,Second Song,Winner
Season_10,7,Jacob Lusk,Love Hurts,Nazareth,Then Song,Eliminated
Season_01,2,Kelly Clarkson,A Moment Like This,Kelly Clarkson,First Song,Winner
Season_04,1,Carrie Underwood,Sin Wagon,Dixie Chicks,First Song,Safe
Season_04,4,Anthony Fedorov,I'm Already There,Lonestar,First Song,Eliminated
Season_05,4,Katharine McPhee,Against All Odds (Take a Look at Me Now)(Phil Collins),Phil Collins,Birth Year Song,Safe
Season_12,4,Angie Miller,I'll Stand by You,Pretenders,Birth Year Songs,Safe
Season_03,8,Fantasia Barrino,Greatest Love of All,George Benson,Third Song,Safe
Season_04,3,Vonzell Solomon,Treat Me Nice,Elvis Presley,First Song,Safe
Season_11,1,Skylar Laine,Didn't You Know How Much I Loved You,Kellie Pickler,2010s Song,Safe
Season_02,8,Ruben Studdard,If Ever You're in My Arms Again,Peabo Bryson,Third Song,Safe
Season_10,9,Jacob Lusk,I'm into Something Good,Herman's Hermits,Duet Song,Safe
Season_18,1,Dillon James,Change the World,Eric Clapton,Celebration Song,Eliminated
Season_03,9,Diana DeGarmo,Don't Cry Out Loud,Melissa Manchester,Third Song,Safe
Season_13,7,Sam Woolf,Time After Time,Cyndi Lauper,1980s Song,Safe
Season_09,1,Lee DeWyze,Kiss from a Rose,Seal,Solo Song,Safe
Season_13,5,Jessica Meuse,Stop Draggin' My Heart Around,"Stevie Nicks,Tom Petty and the Heartbreakers",Duet Song,Safe
Season_16,6,Maddie Poppe,Don't Ever Let Your Children Grow Up,original song,Reprise Song,Winner
Season_03,3,Diana DeGarmo,No More Tears (Enough Is Enough),Barbra Streisand and Donna Summer,Second Song,Runner-up
Season_15,10,Sonika Vaid,I Have Nothing,Whitney Houston,Solo Song,Bottom 2
Season_11,13,Skylar Laine,I Heard It Through the Grapevine,Marvin Gaye,Then Song,Safe
Season_11,14,Joshua Ledet,A Change Is Gonna Come,Sam Cooke,Then Song,Safe
Season_18,5,Jonny West,Can't Keep a Good Man Down,Alabama,Celebration Song,Eliminated
Season_05,1,Elliott Yamin,On Broadway(The Crystals),The Crystals,Birth Year Song,Bottom two
Season_18,12,Julia Gargano,Sweetest Devotion,Adele,Mother Day Song,Eliminated
Season_11,5,Jessica Sanchez,Fallin',Alicia Keys,Now Song,Safe
Season_15,1,La'Porsha Renae,See You Again,with Trent Harmon,Duet Song,Safe
Season_04,4,Vonzell Solomon,Chain of Fools,Aretha Franklin,Second Song,Third Place
Season_18,4,Arthur Gunn,I Don't Want to Be,Gavin DeGraw,Celebration Song,Runner-up
Season_03,5,Diana DeGarmo,Don't Cry Out Loud,Melissa Manchester,Third Song,Runner-up
Season_02,2,Ruben Studdard,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,First Song,Safe
Season_07,4,David Archuleta,In This Moment,In This Moment,Winner Song,Runner-Up
Season_15,8,Tristan McIntosh,A Broken Wing,Martina McBride,Solo Song,Eliminated
Season_12,7,Kree Harrison,It's Still Rock and Roll to Me,Billy Joel,Duet Song,Top three
Season_12,2,Amber Holcomb,I Say a Little Prayer,Aretha Franklin,Burt Bacharach And Hal David Song,Safe
Season_01,4,Kelly Clarkson,Respect,Aretha Franklin,Second Song,Winner
Season_16,9,Cade Foehner,Jungle Love,Steve Miller Band,Prince Song,Safe
Season_02,2,Trenyce,Proud Mary,Credence Clearwater Revival,First Song,Eliminated
Season_12,8,Amber Holcomb,Love on Top,Beyoncé,Wish Song,Safe
Season_08,3,Danny Gokey,Renegade,Styx,Duet Song,Safe
Season_01,1,Tamyra Gray,New Attitude,Patti LaBelle,First Song,Eliminated
Season_02,6,Ruben Studdard,Breaking Up is Hard to Do,Neil Sedaka,Second Song,Bottom Two
Season_12,4,Kree Harrison,What the World Needs Now Is Love,Jackie DeShannon,Burt Bacharach And Hal David Song,Top two
Season_13,9,Caleb Johnson,Maybe I'm Amazed,Paul McCartney,Make Up Song,Safe
Season_03,10,Fantasia Barrino,What Are You Doing the Rest of Your Life?,Julie Andrews,Second Song,Safe
Season_11,7,Jessica Sanchez,Sweet Dreams,"Eurythmics,Annie Lennox,Dave Stewart",Solo Song,Safe
Season_18,10,Jonny West,Amazing Grace,Carrie Underwood,Mother Day Song,Safe
Season_12,12,Candice Glover,Lovesong,The Cure,Wish Song,Top two
Season_11,7,Joshua Ledet,I Believe,The Darkness,Now Song,Safe
Season_12,7,Janelle Arthur,It's Still Rock and Roll to Me,Billy Joel,Duet Song,Bottom two
Season_15,4,Dalton Rapattoni,God Only Knows,The Beach Boys,Classical Rock Song,Safe
Season_02,2,Clay Aiken,To Love Somebody,Bee Gees,First Song,Safe
Season_13,12,Jessica Meuse,Jolene,Dolly Parton,Country Song,Bottom two
Season_11,2,Elise Testone,I Want to Know What Love Is,Foreigner,1980s Song,Bottom three
Season_12,5,Janelle Arthur,You May Be Right,Billy Joel,Rock Song,Bottom two
Season_02,2,Clay Aiken,This Is the Night,The The,First Song,Runner-up
Season_10,1,Scotty McCreery,Check Yes or No,George Strait,Idol Song,Winner
Season_16,1,Caleb Lee Hutchinson,Johnny Cash Heart,Johnny Cash,Winner Song,Runner-up
Season_11,8,Phillip Phillips,Give a Little More,Supertramp,2010s Song,Safe
Season_11,1,Phillip Phillips,Have You Ever Seen the Rain?,Creedence Clearwater Revival,Californian Song,Safe
Season_12,5,Janelle Arthur,I'll Never Fall in Love Again,Dionne Warwick,Burt Bacharach And Hal David Song,Safe
Season_13,9,Alex Preston,Every Breath You Take,The Police,1980s Song,Safe
Season_02,9,Kimberley Locke,Where the Boys Are,Connie Francis,Second Song,Safe
Season_02,6,Clay Aiken,Bridge Over Troubled Water,Simon & Garfunkel,Third Song,Runner-up
Season_18,4,Louis Knight,Can You Feel the Love Tonight,Elton John,Disney Song,Eliminated
Season_18,6,Dillon James,The Times They Are a-Changin',Bob Dylan,Final Song,Eliminated
Season_18,2,Francisco Martin,Adore You,Miley Cyrus,Celebration Song,Eliminated
Season_15,3,MacKenzie Bourg,I Want It That Way,with Dalton Rapattoni,Duet Song,Safe
Season_03,1,Jasmine Trias,Everlasting Love,Carl Carlton,First Song,Safe
Season_18,6,Francisco Martin,You'll Be in My Heart,Phil Collins,Disney Song,Safe
Season_02,1,Joshua Gracin,Jive Talkin',Bee Gees,First Song,Eliminated
Season_02,4,Kimberley Locke,I Heard It Through the Grapevine,Gladys Knight & the Pips,First Song,Safe
Season_03,2,Fantasia Barrino,Chain of Fools,Aretha Franklin,First Song,Safe
Season_10,4,Lauren Alaina,Like My Mother Does,Lauren Alaina,Winner Song,Runner-up
Season_11,9,Joshua Ledet,Ready for Love,BLACKPINK,Solo Song,Safe
Season_02,8,Ruben Studdard,How Can You Mend a Broken Heart,Bee Gees,Second Song,Safe
Season_04,5,Carrie Underwood,Trouble,Elvis Presley,First Song,Safe
Season_16,4,Caleb Lee Hutchinson,So Small,Carrie Underwood,Carrie Underwood Song,Safe
Season_13,2,Jessica Meuse,Since U Been Gone,Kelly Clarkson,Break Up Song,Eliminated
Season_11,3,Elise Testone,Landslide / Edge of Seventeen / Don't Stop,Stevie Nicks,Duet Song,Safe
Season_12,9,Amber Holcomb,What About Love,Heart,Rock Song,Safe
Season_04,5,Carrie Underwood,If You Don't Know Me by Now,Harold Melvin & the Blue Notes,Second Song,Safe
Season_11,1,Jessica Sanchez,Bohemian Rhapsody,Queen,Queen Song,Safe
Season_11,10,Jessica Sanchez,I Knew You Were Waiting,For Me,Duet Song,Safe
Season_16,8,Michael J. Woodard,My Heart Will Go On,"Céline Dion,James Horner",Birth Year Song,Safe
Season_13,8,Sam Woolf,Lucky,Elle King,Duet Song,Judges' save
Season_10,3,Scotty McCreery,I Love You This Big,Scotty McCreery,Winner Song,Winner
Season_04,7,Vonzell Solomon,On the Radio (Donna Summer) — Simon Cowell,Donna Summer,Third Song,Third Place
Season_15,2,Sonika Vaid,Rise Up,with Avalon Young,Duet Song,Bottom 2
Season_01,6,Nikki McKibbin,I'm the Only One,Melissa Etheridge,Second Song,Bottom Two
Season_02,5,Ruben Studdard,Flying Without Wings,Westlife,Third Song,Winner
Season_10,6,Scotty McCreery,Up on the Roof,The Drifters,Duet Song,Safe
Season_12,3,Candice Glover,When I Was Your Man,Bruno Mars,2013 Hit Song,Safe
Season_16,2,Gabby Barrett,I Hope You Dance,Lee Ann Womack,Birth Year Song,Safe
Season_12,8,Candice Glover,(I Can't Get No) Satisfaction,The Rolling Stones,Rock Song,Safe
Season_02,3,Joshua Gracin,Then You Can Tell Me Goodbye,The Casinos,First Song,Safe
Season_17,6,Wade Cota,Rocket Man,Elton John,Elton John Song,Eliminated
Season_07,2,David Archuleta,Don't Let the Sun Go Down on Me,Elton John,Clive Davis Song,Runner-Up
Season_16,6,Gabby Barrett,I Have Nothing,Whitney Houston,Mother Day Song,Safe
Season_01,4,Justin Guarini,Get Here,Oleta Adams,First Song,Safe
Season_02,5,Clay Aiken,Build Me Up Buttercup,The Foundations,First Song,Safe
Season_11,8,Skylar Laine,Tattoos on This Town,Jason Aldean,Solo Song,Bottom three
Season_03,4,Diana DeGarmo,This Is It,Melba Moore,First Song,Safe
Season_11,1,Hollie Cavanagh,Rolling in the Deep,Adele,Now Song,Bottom three
Season_09,3,Crystal Bowersox,Falling Slowly,"Glen Hansard,Markéta Irglová",Duet Song,Safe
Season_03,7,Fantasia Barrino,Holding Out for a Hero,Bonnie Tyler,Second Song,Bottom Two
Season_04,4,Carrie Underwood,Independence Day(Martina McBride),Martina McBride,Second Song,Winner
Season_13,3,Jena Irene,Just Give Me a Reason,"P!nk,Nate Ruess",Duet Song,Safe
Season_11,6,Colton Dixon,Don't You Wanna Stay,"Jason Aldean,Kelly Clarkson",Duet Song,Safe
Season_02,6,Clay Aiken,Grease,Frankie Valli,Second Song,Safe
Season_10,6,Lauren Alaina,Up on the Roof,The Drifters,Duet Song,Safe
Season_08,3,Kris Allen,Renegade,Styx,Duet Song,Safe
Season_02,3,Kimberley Locke,I Just Want to Be Your Everything,Andy Gibb,First Song,Bottom Two
Season_01,8,Justin Guarini,P.Y.T. (Pretty Young Thing),Michael Jackson,Second Song,Safe
Season_16,10,Maddie Poppe,God Only Knows,The Beach Boys,Mother Day Song,Safe
Season_04,2,Carrie Underwood,Inside Your Heaven,Carrie Underwood,First Song,Winner
Season_11,3,Elise Testone,No One,Queens of the Stone Age,Now Song,Bottom three
Season_17,10,Laine Hardy,Something About The Way You Look Tonight,Elton John,Elton John Song,Safe
Season_05,6,Elliott Yamin,Home(Michael Bublé),Michael Bublé,Billboard Song,Bottom two
Season_05,2,Paris Bennett,Kiss(Prince and The Revolution),Prince and The Revolution,Birth Year Song,Eliminated
Season_10,10,Haley Reinhart,The House of the Rising Sun,The Animals,Then Song,Safe
Season_17,14,Laine Hardy,Hey Jude,The Beatles,Hero Dedication Song,Safe
Season_13,5,Caleb Johnson,It's Only Love,The Beatles,Duet Song,Safe
Season_13,1,Jena Irene,Barracuda,Heart,Rock N Roll Song,Safe
Season_10,7,Casey Abrams,That Old Sweet Roll,Hi-De-Ho,Carole King Song,Eliminated
Season_12,3,Kree Harrison,She Talks to Angels,The Black Crowes,Birth Year Songs,Safe
Season_16,2,Gabby Barrett,Last Name,Carrie Underwood,Carrie Underwood Song,Safe
Season_09,4,Casey James,Mrs. Robinson,Simon & Garfunkel,Solo Song,Safe
Season_13,4,Malaya Watson,Through the Fire,Chaka Khan,1980s Song,Eliminated
Season_16,1,Michael J. Woodard,Flat on the Floor,Nickelback,Carrie Underwood Song,Eliminated
Season_16,14,Caleb Lee Hutchinson,When Doves Cry,Prince,Prince Song,Safe
