name,genre,year,rating,score,votes,budget,gross,runtime
Midsommar,Drama,2019,R,7.1,232000.0,9000000.0,47967636.0,148.0
Once Upon a Time... In Hollywood,Comedy,2019,R,7.6,603000.0,90000000.0,374565754.0,161.0
Avengers: Endgame,Action,2019,PG-13,8.4,903000.0,356000000.0,2797501328.0,181.0
Fighting with My Family,Biography,2019,PG-13,7.1,71000.0,11000000.0,40811919.0,108.0
Little Women,Drama,2019,PG,7.8,159000.0,40000000.0,216601214.0,135.0
Escape Room,Action,2019,PG-13,6.4,97000.0,9000000.0,155712077.0,99.0
Joker,Crime,2019,R,8.4,1000000.0,55000000.0,1074427370.0,122.0
Yesterday,Comedy,2019,PG-13,6.8,131000.0,26000000.0,153193369.0,116.0
Parasite,Comedy,2019,R,8.6,631000.0,11400000.0,258908054.0,132.0
John Wick: Chapter 3 - Parabellum,Action,2019,R,7.4,296000.0,75000000.0,327281779.0,130.0
Knives Out,Comedy,2019,PG-13,7.9,505000.0,40000000.0,311539397.0,130.0
Fast & Furious Presents: Hobbs & Shaw,Action,2019,PG-13,6.4,184000.0,200000000.0,759056935.0,137.0
Captain Marvel,Action,2019,PG-13,6.8,478000.0,160000000.0,1128462972.0,123.0
After,Drama,2019,PG-13,5.3,44000.0,14000000.0,69756455.0,105.0
Spider-Man: Far from Home,Action,2019,PG-13,7.5,359000.0,160000000.0,1131927996.0,129.0
Jojo Rabbit,Comedy,2019,PG-13,7.9,328000.0,14000000.0,90335025.0,108.0
Shazam!,Action,2019,PG-13,7.0,284000.0,100000000.0,365971656.0,132.0
It Chapter Two,Drama,2019,R,6.5,222000.0,79000000.0,473093228.0,169.0
1917,Drama,2019,R,8.3,473000.0,95000000.0,384623579.0,119.0
Star Wars: Episode IX - The Rise of Skywalker,Action,2019,PG-13,6.5,394000.0,275000000.0,1078232589.0,141.0
Ford v Ferrari,Action,2019,PG-13,8.1,323000.0,97600000.0,225508210.0,152.0
The Irishman,Biography,2019,R,7.8,344000.0,159000000.0,968853.0,209.0
Jumanji: The Next Level,Action,2019,PG-13,6.6,204000.0,125000000.0,800059707.0,123.0
Alita: Battle Angel,Action,2019,PG-13,7.3,240000.0,170000000.0,404980543.0,122.0
Us,Horror,2019,R,6.8,247000.0,20000000.0,255184580.0,116.0
Ready or Not,Action,2019,R,6.9,121000.0,6000000.0,57615777.0,95.0
Hellboy,Action,2019,R,5.2,82000.0,50000000.0,55065289.0,120.0
Terminator: Dark Fate,Action,2019,R,6.2,159000.0,185000000.0,261119292.0,128.0
Downton Abbey,Drama,2019,PG,7.4,43000.0,13000000.0,237860050.0,122.0
Gemini Man,Action,2019,PG-13,5.7,98000.0,138000000.0,173469516.0,117.0
Booksmart,Comedy,2019,R,7.2,102000.0,6000000.0,24959607.0,102.0
Dora and the Lost City of Gold,Adventure,2019,PG,6.1,27000.0,49000000.0,119682635.0,102.0
Glass,Drama,2019,PG-13,6.6,219000.0,20000000.0,246999039.0,129.0
The Best of Enemies,Biography,2019,PG-13,7.2,13000.0,10000000.0,10209813.0,133.0
The Lion King,Animation,2019,PG,6.9,222000.0,260000000.0,1670727580.0,118.0
Aladdin,Adventure,2019,PG,6.9,239000.0,183000000.0,1050693953.0,128.0
Marriage Story,Comedy,2019,R,7.9,265000.0,18600000.0,333686.0,137.0
Godzilla: King of the Monsters,Action,2019,PG-13,6.0,162000.0,170000000.0,386600138.0,132.0
Rocketman,Biography,2019,R,7.3,153000.0,40000000.0,195179299.0,121.0
Hustlers,Comedy,2019,R,6.3,89000.0,20000000.0,157563598.0,110.0
Toy Story 4,Animation,2019,G,7.7,217000.0,200000000.0,1073394593.0,100.0
Zombieland: Double Tap,Action,2019,R,6.7,151000.0,42000000.0,122810399.0,99.0
Long Shot,Comedy,2019,R,6.8,101000.0,40000000.0,53873809.0,125.0
Angel Has Fallen,Action,2019,R,6.4,86000.0,40000000.0,146661977.0,121.0
Men in Black: International,Action,2019,PG-13,5.6,119000.0,110000000.0,253890701.0,114.0
X-Men: Dark Phoenix,Action,2019,PG-13,5.7,166000.0,200000000.0,252442974.0,113.0
Frozen II,Animation,2019,PG,6.8,148000.0,150000000.0,1450026933.0,103.0
Brightburn,Drama,2019,R,6.1,87000.0,6000000.0,32893421.0,90.0
Ad Astra,Adventure,2019,PG-13,6.5,208000.0,90000000.0,127461872.0,123.0
The Peanut Butter Falcon,Adventure,2019,PG-13,7.6,73000.0,6200000.0,133031473.0,97.0
Good Boys,Adventure,2019,R,6.7,66000.0,20000000.0,111037232.0,90.0
Ma,Horror,2019,R,5.6,46000.0,5000000.0,61105744.0,99.0
Five Feet Apart,Drama,2019,PG-13,7.2,51000.0,7000000.0,91527795.0,116.0
Cold Pursuit,Action,2019,R,6.2,61000.0,60000000.0,76419755.0,119.0
Crawl,Action,2019,R,6.1,74000.0,13500000.0,91542097.0,87.0
Annabelle Comes Home,Horror,2019,R,5.9,65000.0,30000000.0,231252591.0,106.0
Rambo: Last Blood,Action,2019,R,6.1,87000.0,50000000.0,91490353.0,89.0
Late Night,Comedy,2019,R,6.5,33000.0,4000000.0,22386555.0,102.0
The Addams Family,Animation,2019,PG,5.8,31000.0,24000000.0,203783566.0,86.0
The Goldfinch,Drama,2019,R,6.3,19000.0,45000000.0,9932621.0,149.0
A Beautiful Day in the Neighborhood,Biography,2019,PG,7.3,67000.0,25000000.0,67760877.0,109.0
How to Train Your Dragon: The Hidden World,Animation,2019,PG,7.5,112000.0,129000000.0,525683457.0,104.0
Pokémon Detective Pikachu,Action,2019,PG,6.6,146000.0,150000000.0,433921300.0,104.0
Serenity,Drama,2019,R,5.4,38000.0,25000000.0,14454622.0,106.0
Maleficent: Mistress of Evil,Adventure,2019,PG,6.6,91000.0,185000000.0,491730089.0,119.0
The Secret Life of Pets 2,Animation,2019,PG,6.5,55000.0,80000000.0,430051293.0,86.0
The Curse of la Llorona,Horror,2019,R,5.3,43000.0,9000000.0,123133739.0,93.0
