Age,Monthly_Income,Years_at_Company,Work_Life_Balance,Job_Satisfaction,Overtime,Average_Hours_Worked_Per_Week,Absenteeism,Attrition
58,15488,15,1,3,0,54,17,0
48,13079,6,2,1,1,45,1,0
34,13744,24,3,2,1,34,2,0
27,6809,10,3,5,0,48,18,0
40,10206,29,2,5,0,33,0,0
58,16746,15,4,2,0,35,9,0
38,18995,29,4,5,0,55,13,0
42,19035,4,3,2,0,46,12,0
30,14671,18,4,1,1,36,8,0
30,16210,18,3,1,0,53,5,0
43,8197,25,3,1,1,52,5,1
55,18553,17,2,2,0,36,18,0
59,10452,12,4,2,0,38,9,0
43,11718,7,2,4,1,42,2,0
22,17859,16,3,5,0,49,17,0
41,5172,11,3,5,1,43,18,0
21,16158,14,3,4,1,45,4,0
43,19663,3,1,4,1,52,10,0
49,14085,19,1,1,0,38,9,0
57,6981,18,1,4,0,44,16,0
21,8247,10,2,2,0,34,3,0
40,13553,6,3,3,0,47,17,0
52,9135,13,4,2,0,50,17,0
31,8573,10,2,4,0,49,0,1
41,16731,18,2,5,1,37,13,0
44,10189,26,2,2,0,44,7,0
46,17541,20,4,5,0,50,1,1
47,13878,26,3,2,0,54,18,1
35,14087,16,1,5,0,38,14,0
34,16667,25,3,2,1,48,1,0
22,5776,25,3,5,1,58,3,0
56,12311,6,2,3,1,55,0,1
26,10697,13,2,1,1,51,18,0
40,17629,4,2,2,1,35,9,0
28,11386,23,1,3,0,33,0,0
58,11044,14,1,1,1,40,19,0
37,12615,1,1,2,1,58,14,1
23,18034,28,3,3,0,39,3,0
44,8060,20,2,3,0,32,6,1
33,13900,5,4,3,1,30,6,0
28,8581,8,3,4,0,41,17,0
45,5014,12,1,5,0,52,12,0
21,15997,2,4,1,1,44,9,0
39,13635,12,4,5,0,44,7,0
47,16648,5,2,5,1,50,9,0
26,10148,22,4,5,1,43,13,0
27,17022,5,1,3,0,55,13,0
54,8919,13,2,5,1,36,19,0
33,18886,9,4,4,1,46,10,1
36,9638,10,2,2,0,53,5,1
55,7651,1,4,3,0,48,0,0
59,3609,3,3,1,0,36,18,1
23,10940,18,3,2,0,57,6,0
21,13348,12,1,2,1,32,17,1
25,6866,29,3,2,0,59,2,0
23,19755,3,3,5,0,32,19,0
48,19999,26,3,5,1,55,10,1
37,5253,25,4,3,1,54,4,0
45,7942,29,4,5,1,58,18,0
53,15330,9,2,5,1,47,1,0
29,3864,26,4,5,0,59,3,0
55,4268,2,3,3,0,49,9,0
33,10454,3,4,3,1,51,1,1
50,16666,14,1,4,1,43,7,1
34,15370,4,2,4,1,32,0,1
27,8229,25,2,4,1,57,5,0
33,19309,19,4,4,0,55,10,0
42,7054,13,3,2,1,59,9,1
59,3935,7,2,2,0,55,12,0
40,15172,12,1,4,1,36,0,0
35,13530,3,1,4,0,36,1,0
37,18560,23,2,1,0,34,2,0
43,19156,23,3,2,0,32,8,0
45,19709,9,3,1,0,47,4,0
44,12726,2,4,1,1,44,9,0
48,10774,29,4,5,0,49,9,0
34,4985,22,2,3,1,43,11,0
20,17252,9,4,2,0,58,17,0
44,7603,12,4,4,0,33,0,0
26,18960,12,4,4,1,56,2,0
28,12462,15,1,3,1,53,4,0
43,17166,2,4,2,0,37,16,0
20,10754,18,2,4,0,58,7,0
27,17246,13,3,4,1,50,16,0
43,7078,14,4,5,0,42,8,0
30,15853,5,3,1,1,51,5,0
36,7042,26,4,4,1,37,16,0
27,19284,10,2,2,1,44,7,0
54,17389,12,1,3,0,46,6,0
54,5575,10,2,5,0,34,6,0
52,9754,24,1,2,1,49,14,0
24,4986,11,4,5,1,33,6,0
58,18470,25,4,1,1,40,7,1
47,8968,2,1,4,1,47,8,0
26,10493,5,2,2,0,39,14,1
28,7103,7,2,3,1,46,1,0
27,5076,6,1,1,0,59,6,0
31,5994,22,4,1,1,44,14,0
53,6744,23,1,5,0,35,17,1
52,17466,3,4,1,0,52,17,0
42,17523,13,1,2,0,50,9,0
43,8594,3,4,5,0,45,17,1
56,10531,26,1,1,0,44,0,0
54,10371,25,3,3,1,37,6,0
59,17547,24,4,2,1,38,2,0
41,6144,21,2,3,0,40,13,0
46,16990,6,1,3,1,56,11,0
54,17083,11,2,5,1,31,13,0
20,19626,28,1,4,1,56,3,0
54,10954,26,2,5,1,42,12,0
56,10269,17,2,2,1,33,15,0
33,10130,10,1,2,1,56,15,1
22,9828,12,1,5,1,38,4,0
20,11844,17,2,4,0,34,19,0
24,17220,4,2,5,1,48,5,1
45,9331,2,2,2,1,51,5,0
33,16397,11,4,4,1,32,17,1
58,13291,7,4,2,0,59,5,0
46,13164,2,3,4,0,50,6,0
28,13450,26,4,4,1,32,15,0
34,5035,18,4,5,0,35,8,0
34,14463,21,1,5,0,57,12,0
45,10977,4,3,5,1,39,11,0
32,15182,8,3,4,0,34,18,0
51,3298,20,4,4,1,59,0,0
58,3923,14,1,2,0,54,7,0
51,16331,12,1,3,1,32,3,0
23,9578,22,3,5,0,51,18,1
49,7875,21,1,2,1,53,4,0
56,15254,27,2,2,1,36,16,0
42,13905,18,4,1,0,51,2,0
58,16353,11,2,5,1,59,18,0
34,18882,29,3,2,1,47,0,0
48,12663,28,3,1,0,52,0,0
55,3941,8,1,5,1,37,19,0
32,4907,2,1,4,1,30,8,0
51,7837,25,3,1,0,54,4,0
26,16680,15,3,4,1,33,6,0
41,8696,9,2,3,0,53,5,0
47,19226,19,2,3,1,55,16,0
21,16543,20,1,3,0,36,16,1
25,15615,8,2,3,0,43,12,0
47,4466,25,1,2,1,42,11,0
47,3375,19,1,3,0,39,3,1
39,3262,5,4,2,1,52,7,0
49,14580,11,1,2,1,47,4,0
30,13136,15,2,5,0,30,4,0
47,10833,8,3,2,1,33,12,1
44,4893,19,3,2,1,57,10,0
58,11106,23,2,3,0,45,7,0
52,14826,27,3,2,1,45,7,0
20,4652,8,1,4,1,47,0,0
46,3599,26,3,3,0,37,12,0
32,11792,27,2,1,1,39,4,0
22,6637,19,3,3,1,45,7,0
58,13355,18,1,2,0,52,16,0
25,18989,10,1,4,1,53,12,0
27,12290,29,2,3,1,40,8,1
46,8599,7,2,4,0,35,1,0
28,17342,28,2,1,1,30,18,1
56,16945,9,4,1,1,59,19,0
52,13762,1,4,5,0,58,16,0
43,17312,19,1,5,0,58,6,1
34,10382,5,4,3,1,41,2,0
51,11982,19,4,5,1,54,18,0
51,10707,1,3,4,0,35,18,0
43,7633,15,4,5,1,57,8,1
31,12269,16,3,4,1,42,9,0
58,16778,23,2,5,1,55,13,1
21,10008,7,3,5,0,46,17,0
22,18523,26,3,5,1,30,14,0
56,6618,12,2,2,1,37,0,0
36,3272,8,2,2,0,51,5,1
21,16007,5,1,5,0,37,14,0
21,5547,10,1,4,0,53,5,0
47,6164,28,1,3,1,40,17,0
42,17414,21,1,1,1,43,0,1
56,17327,5,3,2,0,53,2,0
51,18576,17,3,5,1,39,16,1
52,3946,26,1,1,1,44,15,0
20,17693,5,4,2,1,36,7,0
38,19890,22,1,3,1,36,16,0
21,18540,15,4,4,0,39,7,0
45,9719,13,2,5,0,33,16,0
51,11435,28,3,3,1,54,8,0
25,14350,1,3,2,0,57,11,0
51,6590,11,4,5,1,47,18,0
23,13064,23,1,1,1,56,3,0
30,3390,1,3,4,0,54,10,0
36,15668,11,4,2,0,39,3,1
57,14569,18,2,4,1,48,13,0
43,16029,18,2,5,1,43,13,1
24,16107,21,3,3,1,42,5,0
53,5560,26,1,4,1,44,16,0
25,8867,16,4,1,0,45,1,0
41,18284,13,3,2,0,31,7,0
30,4211,7,2,1,1,58,3,0
35,12121,1,1,4,1,33,9,1
52,4539,26,4,3,0,50,6,0
28,11693,16,3,3,1,47,3,0
25,11921,1,4,1,0,58,15,0
35,13310,17,1,5,1,46,13,1
48,15744,6,1,5,0,39,15,0
22,7386,2,2,3,1,56,8,0
39,15242,17,1,1,1,50,3,0
55,17257,6,3,1,1,38,5,0
38,11947,14,4,1,0,44,0,1
45,16946,18,1,4,0,57,6,0
22,8930,6,1,5,1,41,0,0
38,8402,10,3,5,1,50,18,0
39,19017,24,4,4,1,57,7,1
51,3507,18,4,2,1,56,2,0
26,4436,27,2,4,0,55,0,0
52,14618,9,2,1,0,38,0,0
59,11750,8,4,4,0,43,6,0
58,19122,28,3,1,1,42,12,1
37,10354,10,3,3,1,57,0,0
59,14294,17,2,1,0,55,15,0
20,16840,23,1,5,1,35,13,0
30,7399,29,3,4,0,48,3,0
47,8037,26,1,1,0,33,11,0
44,18848,6,3,2,0,49,11,0
42,6715,14,4,3,0,46,16,0
50,17877,22,2,2,1,48,14,0
49,10837,22,1,2,0,32,9,0
54,4301,6,1,2,1,58,2,0
26,10370,26,4,3,0,43,19,0
35,9411,7,3,3,0,46,19,0
45,9365,12,1,3,0,42,11,0
21,18449,3,3,3,0,38,0,0
20,3692,14,4,2,1,56,0,1
31,4478,22,2,5,1,30,9,0
24,9396,19,1,5,1,54,17,1
56,11448,23,3,3,1,46,14,0
51,13622,16,1,4,0,45,1,0
28,19825,7,3,1,1,47,16,0
54,13073,8,3,4,1,31,7,1
38,5646,18,3,4,0,43,8,0
35,8209,25,4,4,1,51,19,0
22,9533,13,2,5,1,52,10,0
39,10211,21,1,1,1,56,5,0
43,12927,9,2,4,1,46,13,1
52,14927,10,3,3,0,32,0,0
43,12316,21,3,5,0,31,6,0
30,15177,23,2,3,1,37,8,0
27,13846,27,2,3,0,54,10,0
55,10933,9,1,4,1,58,15,0
57,8476,15,3,3,1,31,18,0
59,16853,20,2,1,1,31,1,0
39,10928,2,4,3,0,55,14,0
54,5080,25,3,4,0,38,2,0
44,9089,13,3,3,0,59,3,0
54,10797,2,1,5,0,49,19,0
44,11346,19,4,5,0,50,6,0
48,3904,26,1,5,0,58,11,0
37,19788,2,4,2,1,56,3,0
37,12974,3,1,5,0,54,9,0
21,4184,6,4,5,1,35,5,0
54,4725,3,4,2,1,55,13,0
35,14380,10,4,5,0,41,2,0
55,16057,24,2,4,1,54,16,0
52,8606,27,3,5,1,38,10,0
23,6956,6,4,5,1,36,9,0
52,19555,23,2,2,0,59,9,1
33,19081,16,2,4,0,41,9,0
40,3421,17,1,3,1,55,2,1
39,8540,19,3,1,0,54,14,0
27,19288,3,3,4,1,34,16,0
26,18966,18,1,3,0,45,17,1
22,18882,7,3,4,1,34,18,0
36,7675,9,1,3,1,41,18,0
52,12082,20,2,3,0,53,11,0
31,16009,12,2,4,0,55,4,0
41,9748,5,4,2,0,49,15,0
41,9103,3,1,4,0,38,14,0
49,14348,11,2,4,0,52,14,0
57,12782,25,2,3,1,36,5,0
57,8882,4,1,1,1,58,11,0
27,8798,5,2,3,1,48,1,0
46,12627,1,3,5,0,49,19,0
46,11415,27,2,4,0,52,8,0
53,15466,28,1,4,1,40,3,0
40,12846,29,3,2,1,56,4,0
49,15720,18,3,3,1,59,7,0
52,12145,12,2,2,1,50,9,1
47,7524,13,4,4,0,41,6,0
52,9559,9,3,3,1,32,13,0
24,10620,2,1,3,0,46,4,0
38,6124,5,4,5,1,36,15,0
23,11671,13,4,5,0,51,14,1
54,14706,16,3,1,0,39,4,1
36,15070,16,2,5,0,52,2,0
47,11134,24,4,3,0,44,9,0
49,3924,3,2,5,1,59,4,0
48,8506,22,3,1,1,31,14,0
25,16650,4,1,4,1,42,17,0
54,5395,11,4,5,0,57,7,0
56,18310,23,1,3,1,33,1,0
43,11226,26,2,4,1,47,7,0
48,14781,14,2,3,1,53,7,0
50,8515,29,1,4,0,52,3,1
54,6365,3,3,3,0,30,18,0
52,19972,16,3,5,0,31,17,0
40,14410,22,4,5,1,31,0,0
51,12095,15,4,1,1,33,19,0
42,13361,28,3,4,1,32,14,0
52,11531,10,3,1,0,46,17,1
22,7270,9,1,2,1,57,11,1
37,12906,11,2,5,0,43,0,0
44,19940,16,2,4,0,31,6,0
50,14279,10,4,1,0,45,18,0
22,8452,17,3,1,0,40,0,0
59,9477,19,1,2,1,54,6,0
43,9470,2,4,1,1,42,1,0
51,5062,24,1,3,0,30,6,0
41,12030,23,3,5,1,54,18,1
42,4813,2,3,1,0,52,12,1
21,14671,6,3,1,1,31,4,0
46,17308,19,2,2,1,31,18,0
21,5313,8,3,3,0,50,0,0
45,12706,26,4,1,0,58,0,0
36,12837,29,2,5,0,34,17,0
59,8831,3,1,5,0,33,0,0
52,7056,26,4,1,1,41,4,0
28,3305,14,4,3,0,55,8,1
58,17347,25,1,5,1,55,11,1
48,4689,16,2,5,0,58,8,0
45,6917,1,4,3,1,57,17,0
54,5936,21,4,3,0,32,10,1
44,6862,3,4,1,1,49,0,1
43,17506,22,2,4,1,39,18,0
32,17318,26,2,2,1,49,9,0
26,18300,18,2,4,0,47,1,0
55,8649,9,4,4,0,50,6,1
39,18674,6,3,5,0,50,19,0
20,8560,23,1,3,0,50,1,0
27,18451,21,3,5,1,56,18,0
35,4079,25,2,2,1,56,5,0
33,16983,1,4,1,1,39,9,0
31,18327,21,4,2,0,30,8,0
42,15755,27,3,5,1,35,7,0
34,10235,10,3,5,1,40,10,0
47,5031,27,1,5,0,31,8,0
53,11514,6,4,5,0,36,19,0
21,12095,23,3,4,1,49,19,0
51,17287,12,1,1,0,50,8,0
42,8911,4,2,4,0,50,7,0
41,14695,28,3,5,0,50,14,0
44,6340,13,2,3,0,47,1,1
41,10876,17,1,4,1,50,0,1
41,18896,27,2,5,1,48,8,0
25,15435,8,4,5,1,33,8,0
34,4141,26,4,1,1,42,12,0
56,12281,20,2,2,1,47,7,0
52,5038,3,4,4,0,49,4,0
27,7270,12,1,4,1,58,2,0
24,13046,7,4,4,1,54,3,0
58,7683,12,2,5,0,53,16,1
23,19878,2,2,1,0,42,15,0
25,10116,24,2,5,0,59,15,0
51,4784,14,3,5,1,56,19,1
49,6786,22,2,3,0,57,2,0
54,12190,23,1,1,0,48,5,0
59,8428,5,4,4,0,46,0,0
35,9681,9,4,2,1,30,15,0
32,9893,21,3,4,0,35,14,1
49,15661,11,3,5,0,48,6,1
38,17892,5,1,1,1,49,1,0
36,12643,3,2,1,0,30,9,0
38,12943,27,3,1,1,37,14,0
47,13472,17,4,3,1,46,5,0
45,15992,2,3,4,0,50,1,0
56,14126,24,3,3,1,51,16,1
45,9869,1,2,2,0,44,0,0
42,10669,7,3,5,0,47,0,0
28,14538,14,1,3,0,36,3,0
31,13065,5,4,3,0,45,19,1
20,13171,19,2,5,1,36,15,0
20,5962,28,4,1,0,46,7,1
53,16851,28,1,5,0,33,0,0
51,15979,11,1,4,0,41,18,0
44,8296,23,3,5,1,42,10,1
59,17745,25,3,1,1,33,16,0
20,8730,2,3,5,0,50,9,0
35,16921,8,4,3,1,30,11,0
58,3126,9,1,2,1,30,8,0
24,8602,27,2,3,0,36,6,0
41,15581,3,3,2,0,38,11,0
48,18997,2,4,5,0,30,14,1
22,12211,7,3,4,0,45,7,0
31,17997,5,1,5,0,47,16,1
45,9671,21,2,1,1,51,4,0
35,15271,26,1,5,0,44,13,0
56,11876,5,4,2,0,35,1,1
41,5887,20,3,3,0,31,15,1
48,12654,13,1,4,0,38,16,0
33,7086,21,4,5,0,33,2,0
47,7180,29,3,5,1,42,0,0
24,5841,20,2,3,0,52,17,0
49,9040,29,1,4,1,51,17,0
24,13304,6,3,5,0,40,3,0
31,7758,20,3,5,0,42,14,0
35,19234,18,3,2,0,40,18,0
45,8014,25,3,2,1,48,18,1
45,4375,2,1,1,0,37,9,0
40,4181,25,3,3,0,36,4,0
58,3490,26,4,4,0,54,18,1
55,6729,6,1,5,0,45,10,1
52,8974,9,3,5,0,32,6,0
49,4882,25,1,1,0,46,4,0
56,5987,3,4,5,0,47,19,1
42,8585,1,4,3,1,57,11,1
29,6159,1,1,1,0,56,18,1
24,7530,19,3,3,0,44,14,0
55,4073,5,3,1,0,57,11,0
53,16743,13,4,5,1,46,3,0
50,5693,19,3,1,1,40,11,1
29,12562,12,4,2,0,34,17,0
38,7340,16,3,4,1,45,16,1
51,5156,25,4,5,0,44,18,0
20,19184,25,2,4,0,39,15,0
24,10966,19,3,5,1,43,10,0
23,5580,3,3,4,0,31,1,0
35,10257,12,3,2,1,45,15,1
43,5159,5,1,4,1,48,0,0
35,19172,2,3,1,1,37,16,0
21,16900,22,1,4,0,44,17,0
47,14440,7,1,5,0,39,12,0
51,17678,13,4,3,0,59,4,0
46,17436,25,1,4,0,34,5,0
39,15021,15,1,4,0,49,0,0
43,9772,22,2,4,0,45,9,0
31,4627,3,3,5,0,50,4,0
54,14664,28,1,4,1,55,0,1
52,11219,21,3,5,0,51,10,0
52,12713,20,1,5,0,41,6,0
56,11488,5,4,3,0,52,17,0
31,5181,24,2,1,1,59,19,0
22,14594,8,1,5,1,42,9,1
20,10164,22,3,2,1,38,14,0
52,3901,1,4,4,0,46,3,0
59,12290,8,3,2,1,49,15,0
29,5881,24,4,4,1,57,14,0
48,16058,18,2,3,0,41,14,0
32,8622,20,4,5,0,54,11,0
31,4378,28,3,1,0,34,7,0
50,8650,16,3,5,1,53,7,0
21,15433,18,1,4,0,41,17,0
54,12456,20,4,1,0,30,5,0
42,10036,12,3,5,0,49,4,0
36,9487,13,1,1,0,57,1,0
45,7248,13,2,4,0,45,11,1
27,7603,10,3,3,0,59,3,0
48,15632,7,1,3,1,41,12,0
45,3220,25,3,5,0,38,16,0
29,17226,14,4,2,1,42,15,1
45,7818,24,1,4,1,46,8,0
53,10349,16,4,5,0,46,0,0
26,8618,15,2,5,1,33,14,0
23,12856,12,4,3,1,43,11,0
30,7576,9,1,1,1,48,4,0
48,18207,8,3,4,0,36,17,0
55,4462,18,1,1,1,56,19,0
44,18905,23,4,4,1,32,1,0
40,19252,18,4,2,1,30,3,0
55,11236,13,3,3,1,41,14,0
29,10813,28,2,2,0,44,5,1
56,5068,27,1,5,0,40,11,1
28,8753,18,3,3,1,39,17,0
43,10237,15,3,5,0,31,19,0
54,17175,4,3,2,0,55,3,0
54,9191,17,1,4,1,58,0,0
55,17622,5,1,5,0,33,14,0
37,4001,22,1,1,0,46,17,0
58,17877,16,2,4,1,46,13,0
51,13232,9,3,4,1,57,2,0
43,7476,10,4,2,0,59,14,0
42,19862,24,4,2,0,37,4,0
51,3515,18,3,3,0,52,2,0
56,15478,17,4,3,0,43,6,1
31,4191,18,2,1,1,53,5,0
32,13860,7,2,4,1,58,0,1
42,16448,4,1,1,1,33,18,0
44,9297,26,1,1,1,35,6,0
54,19655,5,1,2,1,58,3,1
49,11334,28,1,1,0,48,11,0
