active_contributors,topic_area,country_code,year,quarter
126,material-ui,US,2025,2
751,html,UA,2020,2
236,k8s,US,2020,4
294,authentication,US,2020,3
313,youtube,US,2025,3
107,scss,EU,2025,2
120,cv,US,2025,1
113,container,GB,2023,3
252,kubernetes,FR,2021,1
190,rust,RU,2021,2
138,css,IR,2024,2
398,config,CZ,2025,4
105,home-automation,EU,2020,4
101,climate-change,US,2024,2
149,websockets,US,2022,1
108,config,AO,2022,3
156,mysql,GB,2021,2
831,bot,US,2022,4
154,parallel,US,2025,2
111,os,US,2022,2
2739,php,EU,2024,1
145,cms,DE,2023,3
109,labspt7,US,2020,2
196,jetpack-compose,IN,2024,4
229,jax,US,2025,3
365,ios,DE,2022,2
151,minecraft,RU,2023,3
196,deep-learning,FR,2021,2
1428,documentation,EU,2022,2
254,docker-compose,DE,2023,4
249,nft,US,2022,1
482,webdevelopment,IN,2023,3
119,esp8266,EU,2022,2
274,jquery,IN,2022,2
117,openstreetmap,DE,2022,1
634,typescript,BD,2025,4
285,docs,EU,2024,1
166,html5,NG,2022,4
234,postgresql,CA,2023,4
224,laravel,IN,2022,3
319,postgres,US,2021,1
138,nextjs,DE,2021,1
105,computer-vision,HK,2025,4
303,python,AT,2025,3
1588,documentation,US,2025,1
227,config,SK,2021,2
153,configuration,EU,2023,2
117,dotnet,FR,2022,4
382,raspberry-pi,US,2025,4
180,notes,US,2024,1
129,data,DE,2020,2
137,microservice,EU,2022,1
178,streamlit,US,2023,3
181,jsx,IN,2024,2
250,mqtt,DE,2023,1
121,linux,TR,2025,4
106,datasets,US,2021,3
6320,config,GB,2024,1
125,remote-sensing,US,2025,3
121,kafka,GB,2025,1
1469,python,CA,2025,3
132,asyncio,US,2023,4
221,django,DE,2022,2
123,restful-api,IN,2021,3
140,unity,DE,2023,2
405,hacktoberfest,IT,2020,4
3002,typescript,EU,2021,1
116,nvim,DE,2025,4
369,scala,US,2023,2
387,php,GB,2023,4
275,reactjs,AR,2023,1
178,csharp,TR,2023,3
6070,hacktoberfest,EU,2022,2
135,config,BJ,2024,2
256,website,BR,2024,3
140,postgresql,IN,2020,1
139,tls,US,2022,3
19838,config,US,2023,2
141,linux,ID,2025,4
402,kubernetes,GB,2022,3
151,javascript,TH,2023,1
993,automation,US,2025,1
349,upptime,EU,2023,1
267,deep-learning,HK,2024,3
173,csharp,NL,2025,4
182,kubernetes,IL,2025,3
133,low-code,IN,2023,2
116,gradle,EU,2025,2
104,artificial-intelligence,DE,2022,2
124,containers,EU,2022,3
105,documentation,BR,2022,1
131,java,HU,2023,1
407,terraform,IN,2025,4
910,discord,US,2020,3
195,exploratory-data-analysis,IN,2025,3
251,cli,JP,2024,1
200,nextjs,RU,2022,4
158,python3,PL,2025,2
118,gratitude-journal,IN,2025,4
101,citz,CA,2021,2
