"loan_amount","annual_income","debt_to_income","term","interest_rate"
28000,90000,18,60,14.07
5000,40000,5,36,12.61
2000,40000,21.2,36,17.09
21600,30000,10.2,36,6.72
5000,34000,6.5,36,6.72
24000,35000,23.7,60,13.59
20000,110000,16.2,60,11.99
20000,65000,36.5,36,13.59
6400,30000,18.9,36,6.71
25000,75000,10.4,60,15.04
40000,91900,1.8,60,9.92
16000,122000,12.1,36,13.59
17000,88000,3.7,60,9.43
3000,17000,34,36,19.03
20000,60000,38.5,60,19.03
12000,60000,31.2,60,19.03
30000,72000,20.3,60,28.72
20000,83000,18.4,60,15.05
7000,50000,15.6,36,6.08
10000,42000,32,36,11.98
21050,1e+05,26.5,60,13.59
3500,40280,7.3,36,6.71
8000,82000,17.3,36,7.96
18000,55000,14.4,60,12.61
10000,55000,13.7,36,11.98
3200,33000,19.4,36,7.34
10000,60000,11,36,5.32
6000,48000,2.9,36,6.07
12000,106000,26.2,36,12.62
19000,50000,36.8,60,19.03
28000,80000,28.3,60,20.39
15000,140000,13.8,60,9.93
2400,70000,0,36,6.08
10000,45000,10.6,36,21.45
24000,70000,17.1,60,15.04
9500,75000,18.5,36,10.42
30000,53592,7.1,36,12.61
10000,19000,24.8,60,18.06
15000,90000,15.7,60,11.99
35000,77000,14.8,60,15.05
10000,42000,25.9,36,15.05
40000,130000,13.5,60,12.62
15000,76300,10.7,36,6.72
20000,190000,2.7,36,6.71
4500,41000,25.7,36,15.05
16000,30000,3.6,60,9.93
10000,88000,17.2,36,10.42
20000,115000,18.7,60,22.91
20600,95731,19.6,60,30.79
35000,127000,9.1,60,15.05
10000,75000,22.9,36,6.07
12000,70000,21.4,36,6.07
1925,22000,13,36,17.47
15000,75000,20.2,36,7.34
20000,73000,39.1,36,13.59
6000,76000,14.6,36,6.72
10000,188000,11.6,36,5.31
25000,50000,12.2,36,9.93
10000,58000,12.6,36,9.92
6000,105000,16.7,36,9.93
20000,114000,28.1,60,14.07
15000,150000,7.9,36,7.97
20000,69000,15.4,36,5.31
10500,30000,32.4,60,9.93
11400,60000,17.3,60,14.08
5500,74000,32.1,36,12.61
5000,25000,3.7,36,12.62
9600,32000,22.1,36,17.47
15000,31000,16.3,36,12.62
10000,64000,8.7,36,6.71
10450,24000,16.3,60,19.42
7200,77000,16,36,12.62
35000,31000,28.4,60,14.08
4200,13930,21.9,36,10.91
2400,60000,19.2,36,17.47
12800,41787,37.7,36,18.06
8000,45000,15.4,36,16.02
30000,77000,18.4,36,19.03
7000,72000,27.2,36,12.62
25000,165000,11.1,36,6.07
40000,43000,1.6,60,9.43
24000,90000,17.4,60,10.42
5000,95000,11.4,36,7.96
40000,152000,21.1,60,13.59
15000,49500,34.9,60,15.04
5000,32000,13.8,36,12.61
7000,78000,9.6,36,7.96
17450,52000,24.4,60,13.58
30000,147000,5.2,60,16.01
15000,140000,28.5,36,22.91
20000,50000,20.7,36,7.97
15000,55000,12.2,60,18.06
12000,190000,15.8,36,6.08
16500,126000,3.8,36,5.32
19200,95000,15.5,36,5.32
7050,80000,14.2,36,9.93
15000,23000,49.6,60,20
11200,66000,13.3,36,15.05
8000,60000,16.7,36,7.96
20000,101000,18.5,60,26.77
10800,113000,15.3,60,9.44
7200,61000,19,36,13.59
12000,28000,27,36,15.04
20000,75000,21.6,36,5.31
7200,44000,24.8,36,14.08
6000,60000,18.4,36,13.59
5000,47000,18.9,36,7.97
16000,58000,14.7,60,9.93
15600,55000,29.6,36,6.08
10000,31812,37.8,60,21.85
10000,95000,13.5,36,10.42
30000,65000,29.4,36,17.47
16000,55200,18.7,36,6.08
20000,42000,25.2,36,12.61
6275,30784,27.6,36,23.87
15000,60000,26.9,36,18.06
16000,120000,21.4,60,13.59
10000,63000,15.3,36,16.02
25000,155000,16.1,36,9.93
12000,40000,2.9,36,9.92
6000,42500,18.6,36,7.35
10000,75000,8.5,60,13.59
20000,24000,9.8,36,14.07
8500,110000,11.6,36,7.34
36000,172000,24.3,60,15.05
40000,145000,14.7,36,6.72
9000,85000,22.7,36,16.01
7200,42000,9.9,36,7.34
6100,36000,29.5,36,23.88
2250,17000,27.7,36,15.05
10000,37000,4.2,36,6.72
25000,45000,17,36,21.45
16000,40000,19.4,60,25.82
32000,182000,6.1,60,14.08
12000,51000,17.2,36,15.05
10000,45000,23.3,36,9.44
2200,31200,33.2,36,17.09
4800,27278,19.9,36,16.01
35000,75000,15.3,60,10.9
35000,1e+05,22.9,36,12.62
10000,42000,14.4,60,21.45
2400,66000,6.1,36,10.41
19600,89000,18.6,36,5.32
26000,50000,27.1,60,21.85
12000,99000,11.7,60,18.06
13000,150000,7.8,36,5.32
11750,57000,18.9,60,17.09
30000,99000,20.8,60,9.93
7000,44000,19.4,36,6.08
35000,97000,0.3,36,16.01
10000,30000,8.6,60,13.59
20000,50000,14.2,36,9.92
40000,115000,12.9,60,15.04
12000,80000,9.9,36,6.71
16000,15000,7.2,36,17.47
10000,60000,27.1,36,11.99
10000,50000,13.3,36,13.59
15000,91000,25,36,7.35
24000,75000,0.5,60,10.42
40000,182000,16.7,36,7.97
25000,65000,10.6,60,9.92
32175,121500,39.3,36,12.61
25000,170000,14.2,60,9.93
24000,70000,21.8,60,14.07
15000,60000,6,60,14.08
36000,1e+05,22.5,60,12.62
20000,68000,17.3,60,16.02
30000,65000,29.4,60,14.07
11000,42500,24.6,36,18.06
15000,52000,21.3,60,14.08
13500,68250,8.6,60,16.02
10000,55000,8.7,60,11.99
25000,85000,26.5,36,6.72
28000,95000,11.3,36,6.71
10000,71000,15.5,36,6.07
10000,41200,17,36,7.35
10000,44088,27.9,36,13.59
2500,15000,5.9,36,13.59
6500,95000,12.4,36,5.31
10000,88000,13,36,7.97
14500,65000,40.2,36,7.35
40000,80000,11.9,36,11.99
16000,45000,25.4,36,16.02
14000,150000,9.3,36,9.93
10000,69000,27.7,36,19.42
2400,35000,23,36,7.96
17000,39000,10.8,36,13.59
24000,90000,39.6,36,12.61
20000,82000,18.1,36,19.03
30000,82000,7.1,36,16.01
3600,27000,2.5,36,6.72
20000,92000,25.3,36,6.07
8000,45000,23.9,36,15.05
16000,40000,29.7,36,6.07
24000,170000,22.7,36,13.58
2000,30000,5.7,36,10.42
2000,52500,9.7,36,11.98
6500,25000,2.8,36,9.43
8000,70000,39.1,36,16.02
7000,16000,25.4,36,18.06
25000,125000,2.5,60,12.61
15000,60000,22.9,60,14.07
35000,1e+05,27.7,36,10.42
12000,45000,11.8,60,17.47
10000,26448,30.5,60,10.91
15000,90000,18.6,36,5.32
14000,80000,18.4,60,9.44
15000,60000,27.8,36,9.44
10000,60000,9.2,36,14.08
5000,25000,14.3,36,7.35
28125,74000,14.4,60,12.62
10000,119568,22,36,15.04
10000,20000,0,60,9.92
40000,151000,15.8,60,10.9
10000,70000,27.6,36,6.72
8000,35000,29.1,36,5.32
35000,84000,7.6,60,11.99
20000,2e+05,10.7,36,5.32
9000,25000,31.6,36,10.41
20000,60000,8.7,60,14.07
3000,65000,15,36,6.07
8000,15000,29,36,9.93
10000,52000,2.3,36,11.99
5000,44000,12.9,36,6.71
15000,145000,16.6,36,5.31
10000,48000,18,60,13.59
40000,1e+05,10.9,36,10.9
3000,35000,5.6,36,12.62
1500,33000,27,36,10.42
28000,196000,24.4,36,15.05
8000,76000,11.4,36,6.71
20000,49000,28.8,60,21.45
11000,80000,13.5,36,11.99
