"Bill","Party","Tip"
17.01,1,2.99
14.23,1,2
20.97,1,5
20.87,3,4
34.66,2,10.34
25.15,2,4.85
48.17,4,5
22.66,3,4
25.25,2,5
9.42,1,1.58
41.56,2,6.44
38.15,2,11
9.09,1,1.75
11.77,1,2
13.47,1,2.53
18.38,1,3
18.17,1,5
28.56,2,6
23.42,3,4
44.91,2,5.09
36.64,2,5.5
29.14,3,3
4.82,1,0.68
4.82,1,0.18
4.82,1,1.18
4.82,1,0.68
4.82,1,0.18
3.74,1,1
4.82,1,1
85.54,8,19.46
4.82,1,1
8.1,1,1.9
8.13,1,1.5
12.24,2,4
3.63,1,2
11.49,2,1.51
28.33,2,3.67
26.54,2,5
42.88,3,8
47.39,2,5
42.26,3,5.5
69.52,4,10
85.93,7,15
23.98,2,4
32.09,2,4
15.4,1,3.6
29.52,2,4
41.63,4,6
21.2,2,4.09
32.08,2,5
42.58,3,7
48.86,3,8.14
36.46,4,6.54
33.49,2,4.51
29.59,2,6
21.2,2,3.09
30.28,2,2.1
34.02,2,5.98
83.13,5,15
32.42,2,7.58
24.7,2,5.3
44.39,2,4
54.88,3,10
68.33,5,11.67
23.75,2,4.25
44.55,3,8
30.9,2,6
34.81,3,4
23.98,2,5.02
88.22,4,16
34.8,2,7.2
34.68,3,6
13.15,1,3
22.69,1,2
46.87,3,10
32.4,2,4
26.54,2,4
19.3,2,4
51.16,4,8.84
26.54,2,4.46
12.08,1,0
12.19,1,1.4
45.88,2,8
13.1,1,2.5
13.11,1,2.5
26.88,2,3.12
26.54,2,5
21.61,1,3
9.63,1,2
68.49,6,10
59.05,4,6
26.54,2,5
17.61,2,5
19.68,1,6
25.36,2,6.64
46.04,4,5.96
60.58,3,9
28.46,2,5.54
24.18,2,4
11.56,1,1.69
4.98,1,0.02
10.98,2,2
13.95,1,0
2.14,1,0
2.13,1,0.87
15.53,1,4.47
21.65,1,0
15.66,2,3
13.49,1,1.51
14.19,2,1.81
25.4,3,4
7.91,1,2.09
2.13,1,0.87
6.52,1,3.48
14.61,3,4
29.18,6,5
23.6,2,5.4
7.38,1,0
17.55,1,2
43.87,3,6.13
32.57,3,6
31.71,4,8.29
23.98,2,4.02
57.45,4,9.05
31.45,3,3
30.82,2,5.18
30.82,2,5
63.71,4,9
27.09,2,4.91
28.24,2,5
28.02,2,4
32.52,3,3.48
57.86,4,10
39.16,2,7
33.44,2,2.56
30.6,2,4.5
64.28,5,10
27.81,2,4
50.82,5,10
6.95,2,1.05
52.06,4,10
24.21,2,5
25.24,2,4
30.38,3,5
41.48,4,4
102.07,9,15
69.56,4,5
33.81,3,10
22.79,2,3.21
25.68,2,4.32
44.3,4,8
79.66,6,15
19.77,2,4
30.16,2,5
17.12,2,0.88
34.7,3,3
35.81,2,6.19
20.58,2,5
37.89,2,5
43.88,3,5
34.66,2,4
29.82,3,4
56.04,3,5
30.93,2,9.07
21.39,2,5
45.91,2,4.09
24.82,2,5
61.4,4,10
35.08,2,4.92
