player,year,stage,opponent,minutes,goals,assists,yellow_cards
Messi,2014,group,Bosnia,90,1,0,0
Messi,2014,group,Iran,90,1,0,0
Messi,2014,group,Nigeria,90,2,0,0
Messi,2014,round_of_16,Switzerland,120,0,1,0
Messi,2014,quarterfinal,Belgium,90,0,0,0
Messi,2014,semifinal,Netherlands,120,0,0,0
Messi,2014,final,Germany,120,0,0,0
Ronaldo,2014,group,Germany,90,0,0,0
Ronaldo,2014,group,USA,90,0,1,0
Ronaldo,2014,group,Ghana,90,1,0,0
Messi,2018,group,Iceland,90,0,0,0
Messi,2018,group,Croatia,90,0,0,0
Messi,2018,group,Nigeria,90,1,0,0
Messi,2018,round_of_16,France,90,0,2,0
Ronaldo,2018,group,Spain,90,3,0,0
Ronaldo,2018,group,Morocco,90,1,0,0
Ronaldo,2018,group,Iran,90,0,0,1
Ronaldo,2018,round_of_16,Uruguay,90,0,0,0
