date,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2018-1,MQ,Envoy Air,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",5.0,3.0,1.0,0.06,1.94,0.0,0.0,0.0,0.0,104.0,54.0,1.0,49.0,0.0,0.0
2018-1,MQ,Envoy Air,BNA,"Nashville, TN: Nashville International",110.0,21.0,7.17,1.16,6.76,0.0,5.92,3.0,0.0,897.0,344.0,37.0,226.0,0.0,290.0
2018-1,MQ,Envoy Air,BOI,"Boise, ID: Boise Air Terminal",32.0,8.0,0.22,0.35,5.61,0.0,1.82,0.0,0.0,353.0,9.0,18.0,233.0,0.0,93.0
2018-1,MQ,Envoy Air,BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",63.0,11.0,1.75,1.08,2.98,0.0,5.19,3.0,0.0,657.0,83.0,34.0,130.0,0.0,410.0
2018-1,MQ,Envoy Air,BUF,"Buffalo, NY: Buffalo Niagara International",31.0,12.0,0.82,3.0,6.62,0.0,1.55,0.0,0.0,484.0,27.0,136.0,207.0,0.0,114.0
2018-1,MQ,Envoy Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",112.0,40.0,9.43,1.96,12.6,0.0,16.01,3.0,0.0,2198.0,567.0,101.0,553.0,0.0,977.0
2018-1,MQ,Envoy Air,BZN,"Bozeman, MT: Bozeman Yellowstone International",36.0,7.0,0.83,0.64,4.67,0.0,0.86,0.0,1.0,227.0,43.0,27.0,115.0,0.0,42.0
2018-1,MQ,Envoy Air,CAE,"Columbia, SC: Columbia Metropolitan",64.0,9.0,2.31,1.05,2.87,0.0,2.77,1.0,0.0,611.0,120.0,150.0,100.0,0.0,241.0
2018-1,MQ,Envoy Air,CHO,"Charlottesville, VA: Charlottesville Albemarle",53.0,16.0,2.76,0.1,2.18,0.96,10.0,3.0,0.0,696.0,123.0,6.0,72.0,22.0,473.0
2018-1,MQ,Envoy Air,CHS,"Charleston, SC: Charleston AFB/International",63.0,4.0,1.51,0.03,0.35,0.0,2.11,12.0,1.0,291.0,108.0,1.0,12.0,0.0,170.0
