song,artist,year,decade,primary_genre,date,weeks_at_number_one,non_consecutive,rating_1,rating_2,rating_3,overall_rating,divisiveness,label,parent_label,cdr_genre,discogs_genre,artist_structure,multiple_lead_vocalists,group_named_after_non_lead_singer,posthumous,artist_place_of_origin,front_person_age,artist_male,artist_white,artist_black,songwriters,songwriters_w_o_interpolation_sample_credits,songwriter_male,songwriter_white,artist_is_a_songwriter,artist_is_only_songwriter,producers,producer_male,producer_white,artist_is_a_producer,artist_is_only_producer,songwriter_is_a_producer,time_signature,keys,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,acousticness,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,accordion,banjo,bongos,clarinet,cowbell,falsetto_vocal,flute_piccolo,handclaps_snaps,harmonica,human_whistling,kazoo,mandolin,pedal_lap_steel,ocarina,saxophone,sitar,trumpet,ukulele,violin,song_structure,rap_verse_in_a_non_rap_song,length_sec,instrumental,instrumental_length_sec,intro_length_sec,vocal_introduction,free_time_vocal_introduction,fade_out,live,cover,sample,interpolation,inspired_by_a_different_song,lyrical_topic,lyrical_narrative,spoken_word,explicit,foreign_language,written_for_a_play,written_for_a_film,written_for_a_t_v_show,associated_with_dance,topped_the_charts_by_multiple_artist,eurovision_entry
Poor Little Fool,Ricky Nelson,1958,1950,Pop,1958-08-04 00:00:00+00:00,2,0,4,5,3,4.0,1.3333333333333333,Imperial,Imperial,Pop;Rock,Rock,1.0,0,0,0,United States,18.0,1,1,0.0,Sharon Sheeley,Sharon Sheeley,0.0,1.0,0,0,Jimmie Haskell;Ozzie Nelson;Ricky Nelson,1.0,1.0,1.0,0.0,0,4/4,C,C,155.0,33.0,54.0,80.0,-12.0,67.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A2,0,154,0,12,12,0,0,0,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
Nel Blu Dipinto Di Blu,Domenico Modugno,1958,1950,Pop,1958-08-18 00:00:00+00:00,5,1,7,7,5,6.333333333333333,1.3333333333333333,Decca,Decca,Pop,"Pop;Folk, World, & Country",1.0,0,0,0,Italy,30.0,1,1,0.0,Franco Migliacci;Domenico Modugno;Mitchell Parish,Franco Migliacci;Domenico Modugno;Mitchell Parish,1.0,1.0,1,0,Unknown,,,,,0,Free;6/8;4/4,Bb,Bb,130.0,6.0,55.0,48.0,-17.0,98.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E1,0,219,0,11,40,1,1,0,0,0,0,0,0,Flying;Dreaming,0,0,0,1,0,0,0,0,0,1
Little Star,The Elegants,1958,1950,Rock,1958-08-25 00:00:00+00:00,1,0,5,6,6,5.666666666666667,0.6666666666666666,Apt,ABC,Rock,Rock,0.0,0,0,0,United States,17.0,1,1,0.0,Vito Picone;Arthur Venosa,Vito Picone;Arthur Venosa,1.0,1.0,1,1,Unknown,,,,,0,Free;4/4,A,A,73.0,40.0,41.0,70.0,-13.0,87.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D3,0,163,0,0,10,1,1,0,0,0,0,1,1,Longing for Love,0,0,0,0,0,0,0,0,0,0
It's All in the Game,Tommy Edwards,1958,1950,Pop,1958-09-29 00:00:00+00:00,6,0,3,3,7,4.333333333333333,2.6666666666666665,MGM,MGM,Pop,Rock;Pop,1.0,0,0,0,United States,35.0,1,0,1.0,Carl Sigman;Charles G. Dawes,Carl Sigman;Charles G. Dawes,1.0,1.0,0,0,Harry Myerson,1.0,1.0,0.0,0.0,0,3/4,Eb,Eb,71.0,15.0,33.0,61.0,-18.0,4.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,156,0,0,3,0,0,0,0,0,0,1,1,Love,0,0,0,0,0,0,0,0,0,0
It's Only Make Believe,Conway Twitty,1958,1950,Pop,1958-11-10 00:00:00+00:00,2,1,7,8,9,8.0,1.3333333333333333,MGM,MGM,Pop,Rock,1.0,0,0,0,United States,25.0,1,1,0.0,Jack Nance;Conway Twitty,Jack Nance;Conway Twitty,1.0,1.0,1,0,Jim Vienneau,1.0,1.0,0.0,0.0,0,Free;6/8,B,B,127.0,43.0,44.0,36.0,-10.0,86.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A3,0,134,0,0,24,1,1,0,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
Tom Dooley,The Kingston Trio,1958,1950,Folk/Country,1958-11-17 00:00:00+00:00,1,0,5,5,2,4.0,2.0,Capitol,EMI,Folk/Country,"Folk, World, & Country",0.0,0,0,0,United States,24.33333333333333,1,1,0.0,Alan Lomax;Frank Warner,Alan Lomax;Frank Warner,1.0,1.0,0,0,Voyle Gilmore,1.0,1.0,0.0,0.0,0,4/4,E,E,126.0,14.0,63.0,52.0,-15.0,83.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2,0,185,0,7,31,1,0,0,0,1,0,0,1,Murder;Death,1,1,0,0,0,0,0,0,0,0
To Know Him is to Love Him,The Teddy Bears,1958,1950,Pop,1958-12-01 00:00:00+00:00,3,0,8,8,8,8.0,0.0,Dore,Dore,Pop,Pop,0.0,0,0,0,United States,18.0,2,1,0.0,Phil Spector,Phil Spector,1.0,1.0,1,1,Phil Spector,1.0,1.0,1.0,1.0,1,12/8,D;F,Multiple Keys,175.0,20.0,32.0,35.0,-16.0,89.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,142,0,8,8,0,0,1,0,0,0,0,0,Longing for Love,0,0,0,0,0,0,0,0,0,0
The Chipmunk Song,The Chipmunks,1958,1950,Pop,1958-12-22 00:00:00+00:00,4,0,1,5,2,2.6666666666666665,2.6666666666666665,Liberty,Liberty,Pop,Pop;Children's,0.0,0,0,0,United States,39.0,1,0,0.0,Ross Bagdasarian Sr.,Ross Bagdasarian Sr.,1.0,0.0,1,1,Ross Bagdasarian Sr.,1.0,0.0,1.0,1.0,1,3/4,Ab;Bb&%,Ab,153.0,37.0,61.0,78.0,-12.0,71.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A2,0,141,0,28,19,0,0,1,0,0,0,0,0,Christmas,0,0,0,0,0,0,0,0,0,0
Smoke Gets in Your Eyes,The Platters,1959,1950,Pop,1959-01-19 00:00:00+00:00,3,0,9,9,8,8.666666666666666,0.6666666666666666,Mercury,Mercury,Pop,Funk/Soul,0.0,0,0,0,United States,30.0,2,0,1.0,Otto Harbach;Jerome Kern,Otto Harbach;Jerome Kern,1.0,1.0,0,0,Buck Ram,1.0,1.0,0.0,0.0,0,4/4,Eb;B,Multiple Keys,113.0,27.0,32.0,26.0,-11.0,93.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,158,0,16,8,0,0,0,0,1,0,0,1,Lost Love,0,0,0,0,1,0,0,0,0,0
Stagger Lee,Lloyd Price,1959,1950,Rock,1959-02-02 00:00:00+00:00,4,0,6,6,9,7.0,2.0,ABC-Paramount,ABC,Rock,Rock,1.0,0,0,0,United States,25.0,1,0,1.0,Lloyd Price;Harold Logan,Lloyd Price;Harold Logan,1.0,0.0,1,0,Don Costa,1.0,1.0,0.0,0.0,0,Free;4/4,Eb,Eb,71.0,62.0,36.0,79.0,-8.0,74.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A4,0,145,0,32,13,1,1,1,0,1,0,0,1,Murder;Death,1,0,0,0,0,0,0,0,0,0
