year,state_code,state_name,health_topic,indicator_metric,measurement_type,numeric_value,demographic_group
2019,AL,Alabama,Tobacco,Quit attempts in the past year among adult current smokers,Crude Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,CT,Connecticut,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,30.0,Hispanic
2019,DE,Delaware,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,38.8,"White, non-Hispanic"
2019,DE,Delaware,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Number,2053.0,Overall
2019,DE,Delaware,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,12.5,"White, non-Hispanic"
2019,GU,Guam,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,27.0,"Asian, non-Hispanic"
2019,HI,Hawaii,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,78.0,Hispanic
2019,IA,Iowa,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,11.6,"Black, non-Hispanic"
2019,MD,Maryland,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,140.0,Hispanic
2019,MA,Massachusetts,Cardiovascular Disease,High blood pressure among adults,Age-adjusted Prevalence,42.8,Overall
2019,MT,Montana,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,25.5,Hispanic
2019,NV,Nevada,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Age-adjusted Prevalence,23.2,"Black, non-Hispanic"
2019,NH,New Hampshire,Cardiovascular Disease,High blood pressure among adults,Age-adjusted Prevalence,,"Asian, non-Hispanic"
2019,NJ,New Jersey,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Age-adjusted Prevalence,,"Black, non-Hispanic"
2019,NM,New Mexico,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,809.0,"White, non-Hispanic"
2019,NM,New Mexico,Tobacco,Cigarette smoking during pregnancy among women with a recent live birth,Crude Prevalence,8.0,Hispanic
2019,NY,New York,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,25.0,Hispanic
2019,NY,New York,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,874.0,"Black, non-Hispanic"
2019,NC,North Carolina,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Age-adjusted Rate,154.7,Overall
2019,OR,Oregon,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Age-adjusted Rate,61.6,Overall
2019,PA,Pennsylvania,Tobacco,Quit attempts in the past year among adult current smokers,Age-adjusted Prevalence,58.1,Overall
2019,RI,Rhode Island,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,60.0,Hispanic
2019,SD,South Dakota,Diabetes,Diabetes among adults,Age-adjusted Prevalence,9.3,Overall
2019,TX,Texas,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Crude Rate,34.0,"Asian, non-Hispanic"
2019,US,United States,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,28.0,Hispanic
2019,US,United States,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Crude Rate,1.7,Overall
2019,VI,Virgin Islands,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,,Overall
2019,VI,Virgin Islands,Tobacco,Current smokeless tobacco use among high school students,Crude Prevalence,,Overall
2019,VA,Virginia,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,31.6,"Black, non-Hispanic"
2019,VA,Virginia,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,3914.0,"White, non-Hispanic"
2019,WA,Washington,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,31.9,Overall
2020,AL,Alabama,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Age-adjusted Rate,85.7,"Black, non-Hispanic"
2020,KS,Kansas,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Number,55.0,"White, non-Hispanic"
2020,MD,Maryland,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,20.0,"Asian, non-Hispanic"
2020,MN,Minnesota,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,2092.0,"White, non-Hispanic"
2020,MS,Mississippi,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,1948.0,Overall
2020,MO,Missouri,Tobacco,Current cigarette smoking among adults,Crude Prevalence,20.0,Hispanic
2020,MT,Montana,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,453.0,Overall
2020,NH,New Hampshire,Diabetes,Diabetes among adults,Age-adjusted Prevalence,7.5,Overall
2020,NJ,New Jersey,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Age-adjusted Rate,74.2,Overall
