RECIPIENT NAME,RECIPIENT CITY NAME,RECIPIENT COUNTY CODE,RECIPIENT COUNTY NAME,RECIPIENT STATE CODE,RECIPIENT ZIP CODE,TYPE OF RECIPIENT,TYPE OF ACTION,RECIPIENT CONGRESSIONAL DISTRICT,FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE,FEDERAL FUNDING AMOUNT,NON-FEDERAL FUNDING AMOUNT,TOTAL FUNDING AMOUNT,OBLIGATION ACTION DATE,STARTING DATE,ENDING DATE,TYPE OF ASSISTANCE TRANSACTION,RECORD TYPE,CORRECTION/LATE INDICATOR,FISCAL YEAR AND QUARTER CORRECTION,PRINCIPAL PLACE OF PERFORMANCE: STATE,PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY,CFDA PROGRAM TITLE,FEDERAL AGENCY NAME,STATE NAME FOR RECIPIENT,PROJECT DESCRIPTION
RENSSELAER POLYTECHNIC INSTITU,TROY,083,RENSSELAER COUNTY,NEW YORK,121803522,Private: private higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,309618,0,309618,12/22/2009,12/22/2009,12/21/2010,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,TROY,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,NEW YORK,ARMY KNOWLEDGE ONLINE
FORT ORD REUSE AUTHORITY,FORT ORD (ORD),053,MONTEREY COUNTY,CALIFORNIA,939336006,Government codes: State government,new assistance action,17,DOD-OFFICE OF THE SECRETARY OF DEFENSE,460000,0,460000,12/17/2009,01/01/2010,05/31/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,FORT ORD (ORD),"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,CALIFORNIA,BASE CLOSURE (CL)
THE REGENTS OF THE UNIVERSITY,LOS ANGELES,037,LOS ANGELES COUNTY,CALIFORNIA,900246523,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,1050000,0,1050000,11/20/2009,11/20/2009,06/20/2010,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,LOS ANGELES,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,ELECTROMAGNETICALLY AMPLIFIED SONOLUMINESCENCE
THE REGENTS OF THE UNIVERSITY,LOS ANGELES,037,LOS ANGELES COUNTY,CALIFORNIA,900246523,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,298425,0,298425,12/22/2009,12/22/2009,02/29/2012,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,LOS ANGELES,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,ELECTROSTATICALLY DRIVEN MICRO ROTARY STAGES ON CONDUCTIVE LIQUID BEARINGS AND APPLICATIONS FOR OPTICAL DATA TRANSMISSION
THE REGENTS OF THE UNIVERSITY,PLACENTIA,059,ORANGE COUNTY,CALIFORNIA,920935004,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,200000,0,200000,11/12/2009,11/12/2009,11/12/2010,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,PLACENTIA,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,CONTACT LENS BINOCULAR TELESCOPE
GEORGIA TECH RESEARCH CORPORAT,ATLANTA,121,FULTON COUNTY,GEORGIA,303320001,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,1500000,0,1500000,12/30/2009,09/30/2009,05/30/2011,project grant  (B),action-by-action reporting,NA,NA,GEORGIA,ATLANTA,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,GEORGIA,ZENO-BASED OPTO-ELECTRONICS (ZOE)
TRUSTEES OF THE SMITH COLLEGE,NORTHAMPTON,015,HAMPSHIRE COUNTY,MASSACHUSETTS,010636302,Private: private higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,282525,0,282525,10/22/2009,12/01/2008,10/21/2010,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,NORTHAMPTON,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,MASSACHUSETTS,23 MATHEMATICAL CHALLENGES PROGRAM
MASSACHUSETTS INSTITUTE OF TEC,CAMBRIDGE,017,MIDDLESEX COUNTY,MASSACHUSETTS,021394301,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,1508753,0,1508753,11/12/2009,11/12/2009,07/31/2011,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,CAMBRIDGE,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,MASSACHUSETTS,CHIP-SCALE VACUUM MICRO PUMPS (CSVMP)
DUKE UNIVERSITY,DURHAM,063,DURHAM COUNTY,NORTH CAROLINA,277089900,Private: private higher education,new assistance action,04,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,299977,0,299977,12/10/2009,12/10/2009,09/09/2010,project grant  (B),action-by-action reporting,NA,NA,NORTH CAROLINA,DURHAM,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,NORTH CAROLINA,ENTANGLEMET OF PHOTON ORBITAL ANGULAR MOMENTUM
ANALYTICAL SOFTWARE INC,MCKINNEY,085,COLLIN COUNTY,TEXAS,750437564,Private: profit organization,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,50000,0,50000,11/16/2009,11/17/2009,03/01/2010,project grant  (B),action-by-action reporting,NA,NA,TEXAS,MCKINNEY,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,TEXAS,"TAS::57 3600:XXX BASIC RESEARCH FOR AOARD 104025 MAGIC 2010 CHIBA TEAM  , DATED 27 OCT 09 (THE GRANTEE'S TECHNICAL PROPOSAL) AND THE RESEARCH TERMS"
