"X12C2","DEPT..OF.AGRIC....FOREST.SERVICE","X"
"12C3","DEPT. OF AGRIC. - NATURAL RESOURCES CONSERVATION SERVICE",NA
"12D2","DEPT. OF AGRIC. - FARM SERVICE AGENCY",NA
"12D3","DEPT. OF AGRIC. - FOREIGN AGRICULTURAL SERVICE",NA
"12D4","DEPT. OF AGRIC - RISK MANAGEMENT AGENCY",NA
"12E2","DEPT. OF AGRIC. - RURAL UTILITIES SERVICE",NA
"12E3","DEPT. OF AGRIC. - RURAL HOUSING SERVICE",NA
"12E4","DEPT. OF AGRIC. - RURAL BUSINESS-COOPERATIVE SERVICE",NA
"12F2","DEPT. OF AGRIC. - FOOD AND NUTRITION SERVICE",NA
"12G2","DEPT. OF AGRIC.-FOOD SAFETY AND INSPECTION SERVICE",NA
"12H2","DEPT. OF AGRIC. - AGRICULTURAL RESEARCH SERVICE",NA
"12H3","DEPT. OF AGRIC. - COOP. STATE RESEARCH EDUC & EXTENSION",NA
"12H4","DEPT. OF AGRIC.-ECONOMIC RESEARCH SERVICE",NA
"12H5","DEPT. OF AGRIC.-NATIONAL AGRICULTURAL STATISTICS SERVICE",NA
"12K2","DEPT. OF AGRIC. - AGRICULTURAL MARKETING SERVICE",NA
"12K3","DEPT. OF AGRIC. - ANIMAL & PLANT HEALTH INSPECT. SERVICE",NA
"12K4","DEPT. OF AGRIC.-GRAIN INSPECTION PACKERS & STOCKYARDS AD",NA
"1301","DEPT. OF COMMERCE - OFFICE OF THE SECRETARY",NA
"1325","DEPT. OF COMMERCE - ECONOMIC DEVELOPMENT ADMINISTRATION",NA
"1330","DEPT. OF COMMERCE - NAT'L OCEANIC & ATMOSPHERIC ADMIN.",NA
"1335","DEPT. OF COMM. - NAT'L TELECOMMUNICATIONS & INFO. ADMIN.",NA
"1341","DEPT. OF COMM. - NAT'L INSTITUTE OF STANDARDS & TECHNOLOGY",NA
"1350","DEPT. OF COMMERCE - INTERNATIONAL TRADE ADMINISTRATION",NA
"1352","DEPT. OF COMMERCE - MINORITY BUSINESS DEVELOPMENT AGENCY",NA
"1400","INTERIOR, DEPARTMENT OF THE",NA
"1409","DOI-OFFICE OF INSULAR AFFAIRS",NA
"1413","DOI-OFFICE OF HEARINGS AND APPEALS",NA
"1422","DOI-BUREAU OF LAND MANAGEMENT",NA
"1425","DOI-BUREAU OF RECLAMATION",NA
"1434","DOI-GEOLOGICAL SURVEY",NA
"1435","DOI-MINERALS MANAGEMENT SERVICE",NA
"1438","DOI-OFCE. OF SURFACE MINING, RECLAMATION & ENFORCEMENT",NA
"1443","DOI-NATIONAL PARK SERVICE",NA
"1448","DOI-U.S. FISH AND WILDLIFE SERVICE",NA
"1450","DOI-INDIAN AFFAIRS",NA
"1550","DOJ-OFFICE OF JUSTICE PROGRAMS",NA
"1625","LABOR-BUREAU OF LABOR STATISTICS",NA
"1630","LABOR-EMPLOYMENT AND TRAINING ADMINISTRATION",NA
"1635","LABOR-EMPLOYMENT STANDARDS ADMINISTRATION",NA
"1645","LABOR-MINE SAFETY AND HEALTH ADMINISTRATION",NA
"1650","LABOR-OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION",NA
"1653","LABOR-VETERANS EMPLOYMENT AND TRAINING SERVICES",NA
"1667","LABOR-PRESIDENT'S COMM. ON EMPLOY. OF PEOPLE W/ DISABILITIES",NA
"1700","NAVY, DEPARTMENT OF THE",NA
"1714","NAVY-NAVAL RESEARCH, OFFICE OF",NA
"1723","NAVY-NAVAL SUPPLY SYSTEMS COMMAND",NA
"1900","STATE, DEPARTMENT OF",NA
"2050","TREASURY-INTERNAL REVENUE SERVICE",NA
"2100","ARMY,DEPT. OF THE (EXC. CORPS OF ENGINEERS CIVIL PROGRAM)",NA
"21CE","ARMY-U.S. ARMY CORPS OF ENGINEERS-EXCPT CIVIL PROGRAM",NA
"21XD","ARMY-U.S. ARMY RESEARCH LABORATORY COMMAND",NA
"2800","SOCIAL SECURITY ADMINISTRATION",NA
"3100","NUCLEAR REGULATORY COMMISSION",NA
"3300","SMITHSONIAN INSTITUTION",NA
"3620","VA-VETERANS HEALTH ADMINISTRATION",NA
"3640","VA-VETERANS BENEFIT ADMINISTRATION",NA
"4602","APPALACHIAN REGIONAL COMMISSION",NA
"4900","NATIONAL SCIENCE FOUNDATION",NA
"5700","AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NA
"571M","AIR FORCE-AIR FORCE MATERIEL COMMAND",NA
"5920","NATIONAL ENDOWMENT FOR THE ARTS",NA
"5940","NATIONAL ENDOWMENT FOR THE HUMANITIES",NA
"5950","INSTITUTE OF MUSEUM AND LIBRARY SERVICES",NA
"6000","RAILROAD RETIREMENT BOARD",NA
"6800","ENVIRONMENTAL PROTECTION AGENCY",NA
"6901","DOT-IMMEDIATE OFFICE OF THE SECY OF TRANSPORTATION",NA
"6920","DOT-FEDERAL AVIATION ADMINISTRATION",NA
"6925","DOT-FEDERAL HIGHWAY ADMINISTRATION",NA
"6930","DOT-FEDERAL RAILROAD ADMINISTRATION",NA
"6938","DOT-MARITIME ADMINISTRATION",NA
"6940","DOT-NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION",NA
"6943","DOT-RESEARCH AND SPECIAL PROGRAMS ADMINISTRATION",NA
"6955","DOT-FEDERAL TRANSIT ADMINISTRATION",NA
"6957","DOT-BUREAU OF TRANSPORTATION STATISTICS",NA
"6959","DOT-SURFACE TRANSPORTATION BOARD",NA
"7003","DHS-BUREAU OF CITIZENSHIP & IMMIGRATION SERVICES",NA
