"X01","ALABAMA","X"
2,"ALASKA",NA
4,"ARIZONA",NA
5,"ARKANSAS",NA
6,"CALIFORNIA",NA
8,"COLORADO",NA
9,"CONNECTICUT",NA
10,"DELAWARE",NA
11,"DISTRICT OF COLUMBIA",NA
12,"FLORIDA",NA
13,"GEORGIA",NA
15,"HAWAII",NA
16,"IDAHO",NA
17,"ILLINOIS",NA
18,"INDIANA",NA
19,"IOWA",NA
20,"KANSAS",NA
21,"KENTUCKY",NA
22,"LOUISIANA",NA
23,"MAINE",NA
24,"MARYLAND",NA
25,"MASSACHUSETTS",NA
26,"MICHIGAN",NA
27,"MINNESOTA",NA
28,"MISSISSIPPI",NA
29,"MISSOURI",NA
30,"MONTANA",NA
31,"NEBRASKA",NA
32,"NEVADA",NA
33,"NEW HAMPSHIRE",NA
34,"NEW JERSEY",NA
35,"NEW MEXICO",NA
36,"NEW YORK",NA
37,"NORTH CAROLINA",NA
38,"NORTH DAKOTA",NA
39,"OHIO",NA
40,"OKLAHOMA",NA
41,"OREGON",NA
42,"PENNSYLVANIA",NA
44,"RHODE ISLAND",NA
45,"SOUTH CAROLINA",NA
46,"SOUTH DAKOTA",NA
47,"TENNESSEE",NA
48,"TEXAS",NA
49,"UTAH",NA
50,"VERMONT",NA
51,"VIRGINIA",NA
53,"WASHINGTON",NA
54,"WEST VIRGINIA",NA
55,"WISCONSIN",NA
56,"WYOMING",NA
60,"AMERICAN SAMOA",NA
64,"MICRONESIA",NA
66,"GUAM",NA
68,"MARSHALL ISLANDS",NA
69,"NORTHERN MARIANA ISLANDS",NA
70,"PALAU",NA
72,"PUERTO RICO",NA
78,"VIRGIN ISLANDS",NA
