"X00","Government.codes..State.government","X"
1,"Government codes: county government",NA
2,"Government codes: city or township government",NA
4,"Government codes: special district government",NA
5,"Government codes: independent school district",NA
6,"Government codes: State controlled institutions of higher education",NA
11,"Nonprofit agencies: Indian tribe",NA
12,"Nonprofit agencies: other nonprofit",NA
20,"Private: private higher education",NA
21,"Private: individual",NA
22,"Private: profit organization",NA
23,"Private: small business",NA
25,"Private: all other",NA
