"CFDA PROGRAM NUMBER","STATE APPLICATION IDENTIFIER (SAI NUMBER)","RECIPIENT NAME","RECIPIENT CITY CODE","RECIPIENT CITY NAME","RECIPIENT COUNTY CODE","RECIPIENT COUNTY NAME","RECIPIENT STATE CODE","RECIPIENT ZIP CODE","TYPE OF RECIPIENT","TYPE OF ACTION","RECIPIENT CONGRESSIONAL DISTRICT","FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE","FEDERAL AWARD IDENTIFIER NUMBER","FEDERAL FUNDING SIGN","FEDERAL FUNDING AMOUNT","NON-FEDERAL FUNDING SIGN","NON-FEDERAL FUNDING AMOUNT","TOTAL FUNDING SIGN","TOTAL FUNDING AMOUNT","OBLIGATION ACTION DATE","STARTING DATE","ENDING DATE","TYPE OF ASSISTANCE TRANSACTION","RECORD TYPE","CORRECTION/LATE INDICATOR ","FISCAL YEAR AND QUARTER CORRECTION","PRINCIPAL PLACE OF PERFORMANCE CODE","PRINCIPAL PLACE OF PERFORMANCE: STATE","PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY","CFDA PROGRAM TITLE","FEDERAL AGENCY NAME","STATE NAME FOR RECIPIENT","PROJECT DESCRIPTION"
"12.800","SAI NOT AVAILABLE","THE REGENTS OF THE UNIVERSITY","36770","IRVINE","059","ORANGE COUNTY","CALIFORNIA","926970001","Government codes: State controlled institutions of higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","FA95501010538","","999752","","0","","999752","09/22/2010","09/30/2010","06/30/2011","project grant  (B)","action-by-action reporting","","","0636770","CALIFORNIA","IRVINE","AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","TAS::97 0130::TAS "ADVANCED OPTICAL TECHNOLOGIES FOR DEFENSE TRAUMA AND CRITICAL CARE""
"12.800","SAI NOT AVAILABLE","CALIFORNIA INSTITUTE OF TECHNO","56000","PASADENA","037","LOS ANGELES COUNTY","CALIFORNIA","911250001","Private: private higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","FA95501010368","","600000","","0","","600000","07/01/2010","07/01/2010","06/30/2011","project grant  (B)","action-by-action reporting","","","0656000","CALIFORNIA","PASADENA","AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","TAS::57 3600::TAS "NDEP/NSSEFF - REVERSE ENGINEERING OF INSECT FLIGHT""
"12.350","SAI NOT AVAILABLE","PROJECT CONCERN INTERNATIONAL","66000","SAN DIEGO","073","SAN DIEGO COUNTY","CALIFORNIA","921234339","Nonprofit agencies: other nonprofit","new assistance action","90","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","N002441010056","","1198431","","0","","1198431","07/13/2010","07/13/2010","07/12/2013","project grant  (B)","action-by-action reporting","","","0666000","CALIFORNIA","SAN DIEGO","DEPARTMENT OF DEFENSE HIV/AIDS PREVENTION PROGRAM","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","CALIFORNIA","PEPFAR ZAMBIA AIDS RELIEF"
"12.800","SAI NOT AVAILABLE","GEORGIA TECH RESEARCH CORPORAT","04000","ATLANTA","121","FULTON COUNTY","GEORGIA","303320001","Government codes: State controlled institutions of higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","FA95501010367","","500000","","0","","500000","07/01/2010","07/01/2010","06/30/2011","project grant  (B)","action-by-action reporting","","","1304000","GEORGIA","ATLANTA","AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","GEORGIA","TAS::57 3600::TAS "NDEP/NSSEFF - EPITAXIAL GRAPHENE QUANTUM ELECTRONICS""
"12.750","SAI NOT AVAILABLE","HENRY M JACKSON FOUNDATION FOR","07125","BETHESDA","031","MONTGOMERY COUNTY","MARYLAND","208521402","Government codes: State controlled institutions of higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","HU00011010007","","1096834","","0","","1096834","07/26/2010","08/01/2010","07/31/2011","project grant  (B)","action-by-action reporting","","","2407125","MARYLAND","BETHESDA","DOD MEDICAL RESEARCH, CONSULTATION AND EDUCATION PROGRAMS","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MARYLAND","DEFENSE MEDICAL LANGUAGE INITIATIVE"
"12.800","SAI NOT AVAILABLE","REGENTS OF THE UNIVERSITY OF M","03000","ANN ARBOR","161","WASHTENAW COUNTY","MICHIGAN","481091340","Government codes: State controlled institutions of higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","FA95501010550","","90000","","0","","90000","09/24/2010","09/30/2010","03/29/2011","project grant  (B)","action-by-action reporting","","","2603000","MICHIGAN","ANN ARBOR","AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MICHIGAN","TAS::57 3600::TAS "DIGITAL QUANTUM SIMULATORS""
"12.614","SAI NOT AVAILABLE","CASCADE COUNTY","59875","PROCTOR","047","LAKE COUNTY","MONTANA","594012517","Government codes: county government","new assistance action","00","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010075","","81180","","0","","81180","07/30/2010","08/01/2010","12/31/2011","project grant  (B)","action-by-action reporting","","","3059875","MONTANA","PROCTOR","COMMUNITY ECONOMIC ADJUSTMENT DIVERSIFICATION PLANNING","DOD-OFFICE OF THE SECRETARY OF DEFENSE","MONTANA","DEFENSE DIVERSIFICATION (DD) TO EVALUATE THE NEED FOR AND POSSIBLY PROVIDE DIVERSIFICATION PLANNING ASSISTANCE TO THE SWEETGRASS REGION, MONTANA. THI"
"12.599","SAI NOT AVAILABLE","INSITECH-MTAC CORPORATION","60900","PRINCETON","021","MERCER COUNTY","NEW JERSEY","085406449","Nonprofit agencies: other nonprofit","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","HQ00341010005","","2955000","","0","","2955000","09/01/2010","09/01/2010","02/29/2012","project grant  (B)","action-by-action reporting","","","3460900","NEW JERSEY","PRINCETON","CONGRESSIONALLY DIRECTED ASSISTANCE","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","NEW JERSEY","TO FUNDING FOR PROJECTS IN BUSINESS FOCUS AREAS SUCH AS C4ISR, HOMELAND DEFENSE, AND OTHER AREAS THAT PROVIDE JOB GROWTH"
"12.350","SAI NOT AVAILABLE","CICATELLI ASSOCIATES, INC","51000","NEW YORK","061","NEW YORK COUNTY","NEW YORK","100186505","Nonprofit agencies: other nonprofit","new assistance action","90","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","N002441010075","","109230","","0","","109230","09/15/2010","09/15/2010","09/16/2011","project grant  (B)","action-by-action reporting","","","3651000","NEW YORK","NEW YORK","DEPARTMENT OF DEFENSE HIV/AIDS PREVENTION PROGRAM","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","NEW YORK","PEPFAR BAHAMAS AIDS RELIEF"
"12.350","SAI NOT AVAILABLE","CHURCH WORLD SERVICE, INC","48725","MOTTVILLE","067","ONONDAGA COUNTY","NEW YORK","101150073","Nonprofit agencies: other nonprofit","new assistance action","25","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","N002441010066","","102576","","0","","102576","08/10/2010","08/10/2010","08/09/2013","project grant  (B)","action-by-action reporting","","","3648725","NEW YORK","MOTTVILLE","DEPARTMENT OF DEFENSE HIV/AIDS PREVENTION PROGRAM","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","NEW YORK","PEPFAR EAST TIMOR AIDS RELIEF"
