"12C2","DEPT. OF AGRIC. - FOREST SERVICE",""
"12C3","DEPT. OF AGRIC. - NATURAL RESOURCES CONSERVATION SERVICE",""
"12D2","DEPT. OF AGRIC. - FARM SERVICE AGENCY",""
"12D3","DEPT. OF AGRIC. - FOREIGN AGRICULTURAL SERVICE",""
"12D4","DEPT. OF AGRIC - RISK MANAGEMENT AGENCY",""
"12E2","DEPT. OF AGRIC. - RURAL UTILITIES SERVICE",""
"12E3","DEPT. OF AGRIC. - RURAL HOUSING SERVICE",""
"12E4","DEPT. OF AGRIC. - RURAL BUSINESS-COOPERATIVE SERVICE",""
"12F2","DEPT. OF AGRIC. - FOOD AND NUTRITION SERVICE",""
"12G2","DEPT. OF AGRIC.-FOOD SAFETY AND INSPECTION SERVICE",""
"12H2","DEPT. OF AGRIC. - AGRICULTURAL RESEARCH SERVICE",""
"12H3","DEPT. OF AGRIC. - COOP. STATE RESEARCH EDUC & EXTENSION",""
"12H4","DEPT. OF AGRIC.-ECONOMIC RESEARCH SERVICE",""
"12H5","DEPT. OF AGRIC.-NATIONAL AGRICULTURAL STATISTICS SERVICE",""
"12K2","DEPT. OF AGRIC. - AGRICULTURAL MARKETING SERVICE",""
"12K3","DEPT. OF AGRIC. - ANIMAL & PLANT HEALTH INSPECT. SERVICE",""
"12K4","DEPT. OF AGRIC.-GRAIN INSPECTION PACKERS & STOCKYARDS AD",""
"1301","DEPT. OF COMMERCE - OFFICE OF THE SECRETARY",""
"1325","DEPT. OF COMMERCE - ECONOMIC DEVELOPMENT ADMINISTRATION",""
"1330","DEPT. OF COMMERCE - NAT'L OCEANIC & ATMOSPHERIC ADMIN.",""
"1335","DEPT. OF COMM. - NAT'L TELECOMMUNICATIONS & INFO. ADMIN.",""
"1341","DEPT. OF COMM. - NAT'L INSTITUTE OF STANDARDS & TECHNOLOGY",""
"1350","DEPT. OF COMMERCE - INTERNATIONAL TRADE ADMINISTRATION",""
"1352","DEPT. OF COMMERCE - MINORITY BUSINESS DEVELOPMENT AGENCY",""
"1400","INTERIOR, DEPARTMENT OF THE",""
"1409","DOI-OFFICE OF INSULAR AFFAIRS",""
"1413","DOI-OFFICE OF HEARINGS AND APPEALS",""
"1422","DOI-BUREAU OF LAND MANAGEMENT",""
"1425","DOI-BUREAU OF RECLAMATION",""
"1434","DOI-GEOLOGICAL SURVEY",""
"1435","DOI-MINERALS MANAGEMENT SERVICE",""
"1438","DOI-OFCE. OF SURFACE MINING, RECLAMATION & ENFORCEMENT",""
"1443","DOI-NATIONAL PARK SERVICE",""
"1448","DOI-U.S. FISH AND WILDLIFE SERVICE",""
"1450","DOI-INDIAN AFFAIRS",""
"1550","DOJ-OFFICE OF JUSTICE PROGRAMS",""
"1625","LABOR-BUREAU OF LABOR STATISTICS",""
"1630","LABOR-EMPLOYMENT AND TRAINING ADMINISTRATION",""
"1635","LABOR-EMPLOYMENT STANDARDS ADMINISTRATION",""
"1645","LABOR-MINE SAFETY AND HEALTH ADMINISTRATION",""
"1650","LABOR-OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION",""
"1653","LABOR-VETERANS EMPLOYMENT AND TRAINING SERVICES",""
"1667","LABOR-PRESIDENT'S COMM. ON EMPLOY. OF PEOPLE W/ DISABILITIES",""
"1700","NAVY, DEPARTMENT OF THE",""
"1714","NAVY-NAVAL RESEARCH, OFFICE OF",""
"1723","NAVY-NAVAL SUPPLY SYSTEMS COMMAND",""
"1900","STATE, DEPARTMENT OF",""
"2050","TREASURY-INTERNAL REVENUE SERVICE",""
"2100","ARMY,DEPT. OF THE (EXC. CORPS OF ENGINEERS CIVIL PROGRAM)",""
"21CE","ARMY-U.S. ARMY CORPS OF ENGINEERS-EXCPT CIVIL PROGRAM",""
"21XD","ARMY-U.S. ARMY RESEARCH LABORATORY COMMAND",""
"2800","SOCIAL SECURITY ADMINISTRATION",""
"3100","NUCLEAR REGULATORY COMMISSION",""
"3300","SMITHSONIAN INSTITUTION",""
"3620","VA-VETERANS HEALTH ADMINISTRATION",""
"3640","VA-VETERANS BENEFIT ADMINISTRATION",""
"4602","APPALACHIAN REGIONAL COMMISSION",""
"4900","NATIONAL SCIENCE FOUNDATION",""
"5700","AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",""
"571M","AIR FORCE-AIR FORCE MATERIEL COMMAND",""
"5920","NATIONAL ENDOWMENT FOR THE ARTS",""
"5940","NATIONAL ENDOWMENT FOR THE HUMANITIES",""
"5950","INSTITUTE OF MUSEUM AND LIBRARY SERVICES",""
"6000","RAILROAD RETIREMENT BOARD",""
"6800","ENVIRONMENTAL PROTECTION AGENCY",""
"6901","DOT-IMMEDIATE OFFICE OF THE SECY OF TRANSPORTATION",""
"6920","DOT-FEDERAL AVIATION ADMINISTRATION",""
"6925","DOT-FEDERAL HIGHWAY ADMINISTRATION",""
"6930","DOT-FEDERAL RAILROAD ADMINISTRATION",""
"6938","DOT-MARITIME ADMINISTRATION",""
"6940","DOT-NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION",""
"6943","DOT-RESEARCH AND SPECIAL PROGRAMS ADMINISTRATION",""
"6955","DOT-FEDERAL TRANSIT ADMINISTRATION",""
"6957","DOT-BUREAU OF TRANSPORTATION STATISTICS",""
"6959","DOT-SURFACE TRANSPORTATION BOARD",""
"7003","DHS-BUREAU OF CITIZENSHIP & IMMIGRATION SERVICES",""
"7013","DHS-TRANSPORTATION SECURITY ADMINISTRATION",""
"7022","DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY",""
"7051","DHS-OFFICE OF THE UNDERSECRETARY FOR MANAGEMENT",""
"7200","USAID-U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT",""
"7300","SMALL BUSINESS ADMINISTRATION",""
"7501","HHS-IMMED. OFFICE - SECY OF HEALTH AND HUMAN SERVICES",""
"7522","HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMINISTRATION",""
"7523","HHS-CENTERS FOR DISEASE CONTROL & PREVENTION",""
"7524","HHS-FOOD AND DRUG ADMINISTRATION",""
