category,production,type,title,distributor,producer,year
Outstanding Character Voice-Over Performance - 2021,,Nominee,black-ish: Election Special (Part 2),ABC,ABC,2021
Outstanding Character Voice-Over Performance - 2021,,Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021
Outstanding Character Voice-Over Performance - 2021,,Nominee,Family Guy,FOX,20th Television Animation,2021
Outstanding Character Voice-Over Performance - 2021,,Nominee,Archer,FX Networks,FX Productions,2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Elisabeth Williams, Production Designer",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Martha Sparrow, Art Director",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Larry Spittle, Art Director",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Rob Hepburn, Set Decorator",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Lester Cohen, Production Designer",Nominee,The Undoing,HBO,"HBO in association with Made Up Stories, Blossom Films, David E. Kelley Productions",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Doug Huszti, Art Director",Nominee,The Undoing,HBO,"HBO in association with Made Up Stories, Blossom Films, David E. Kelley Productions",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Keri Lederman, Set Decorator",Nominee,The Undoing,HBO,"HBO in association with Made Up Stories, Blossom Films, David E. Kelley Productions",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Cary White, Production Designer",Nominee,Yellowstone,Paramount Network,"Linson Entertainment, Bosque Ranch, Treehouse, 101 Studios, LLC",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Yvonne Boudreaux, Art Director",Nominee,Yellowstone,Paramount Network,"Linson Entertainment, Bosque Ranch, Treehouse, 101 Studios, LLC",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Carla Curry, Set Decorator",Nominee,Yellowstone,Paramount Network,"Linson Entertainment, Bosque Ranch, Treehouse, 101 Studios, LLC",2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Will Hughes-Jones, Production Designer",Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Dominic Devine, Art Director",Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Gina Cromwell, Set Decorator",Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Martin Childs, Production Designer",Nominee,The Crown,Netflix,Left Bank Pictures in association with Sony Pictures Television for Netflix,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Mark Raggett, Art Director",Nominee,The Crown,Netflix,Left Bank Pictures in association with Sony Pictures Television for Netflix,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Alison Harvey, Set Decorator",Nominee,The Crown,Netflix,Left Bank Pictures in association with Sony Pictures Television for Netflix,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Mark Ricker, Production Designer",Nominee,Halston,Netflix,A Netflix Original Series,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Nithya Shrinivasan, Art Director",Nominee,Halston,Netflix,A Netflix Original Series,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Cherish M. Hale, Set Decorator",Nominee,Halston,Netflix,A Netflix Original Series,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Andrew L. Jones, Production Designer",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Doug Chiang, Production Designer",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"David Lazan, Art Director",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Amanda Serino, Set Decorator",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"John Goldsmith, Production Designer",Nominee,Perry Mason,HBO,"HBO in association with Team Downey, Dwight Street Book Club, and Inflatable Moose",2021
