Age,Education Level,Gender,College GPA (/4),A Level Result (/5),Age Started Gaming,Mobile or PC,Sleep Time,Attend Morning Class,Average Gaming Time (hrs/day),Game Played,Read Newspaper,Paid or Unpaid Game,Time with Family and Friends,Feelings Without Gaming in a Day,Feelings After Completing Level,Fatigue,Gaming for Stress Relief,Glasses
21,Bachelor Level,Male,4,5,10,"Mobile, PC",2,Yes,4,FIFA,Not regular,Unpaid,3,negative,Excited,No,Yes,Yes
21,Bachelor Level,Male,3,5,11,Mobile,2,No,5,FREE FIRE,Not regular,Paid,1,negative,Excited,No,Yes,No
21,Bachelor Level,Male,3.75,5,12,"Mobile, PC",1,Yes,3,FIFA,Not regular,Unpaid,5,negative,Excited,No,Yes,Yes
20,Bachelor Level,Male,3.5,5,18,Mobile,0,Yes,2,FIFA,Not regular,Unpaid,7,positive,Excited,Yes,Yes,No
25,Bachelor Level,Male,2,5,14,Mobile,2,No,2,FIFA,Not regular,Unpaid,6,positive,Excited,Yes,No,No
22,Bachelor Level,Male,3.5,3.33,16,"Mobile, PC",2,No,0,PUBG,Not regular,Paid,3,negative,Excited,Yes,Yes,Yes
22,Bachelor Level,Male,3.5,4.8,16,Mobile,3,No,3,PES,Regular,Unpaid,2,negative,Excited,No,Yes,Yes
23,Bachelor Level,Male,3.93,5,14,Mobile,3,Yes,5,PUBG,Not regular,Unpaid,7,neutral,Excited,No,Yes,Yes
22,Bachelor Level,Male,3.8,4,17,"Mobile, PC",2,Yes,2,CALL OF DUTY,Not regular,Unpaid,2,positive,Bored,Yes,Yes,No
22,Bachelor Level,Male,3.61,4.67,18,Mobile,7,Yes,2,FIFA,Not regular,Unpaid,3,negative,Bored,No,No,No
22,Bachelor Level,Male,3.2,4.92,16,Mobile,2,Yes,2,PUBG,Not regular,Unpaid,3,positive,Excited,Yes,No,No
23,Bachelor Level,Male,2.93,4.71,14,Mobile,1,Yes,2,PUBG,Not regular,Unpaid,2,neutral,Excited,No,Yes,No
22,Bachelor Level,Male,3.79,5,12,Mobile,2,Yes,2,FIFA,Not regular,Unpaid,1,positive,Excited,Yes,Yes,No
23,Bachelor Level,Male,2.8,2.92,17,Mobile,0,Yes,1,PUBG,Not regular,Unpaid,3,positive,Bored,No,Yes,No
22,Bachelor Level,Male,3.1,4.17,12,Mobile,0,Yes,4,PUBG,Not regular,Paid,0,positive,Excited,No,Yes,Yes
21,Bachelor Level,Female,3,4.67,15,Mobile,0,Yes,1,PUBG,Not regular,Unpaid,3,positive,Excited,No,Yes,No
24,Bachelor Level,Male,2.8,4.2,14,"Mobile, PC",0,Yes,1,PES,Not regular,Paid,3,positive,Excited,No,No,No
23,Bachelor Level,Male,3.73,4.08,18,Mobile,2,Yes,3,FREE FIRE,Not regular,Unpaid,2,negative,Excited,No,Yes,No
21,Bachelor Level,Male,3.25,4.92,19,Mobile,0,Yes,3,PUBG,Not regular,Paid,2,negative,Excited,No,Yes,No
22,Bachelor Level,Male,3.67,5,19,Mobile,2,No,1,FIFA,Not regular,Unpaid,0,positive,Excited,Yes,No,No
23,Bachelor Level,Male,3.33,4.5,15,Mobile,0,Yes,2,PUBG,Regular,Unpaid,5,positive,Excited,Yes,Yes,No
23,Bachelor Level,Male,4,5,10,PC,1,No,3,CALL OF DUTY,Not regular,Unpaid,7,positive,Excited,Yes,Yes,Yes
23,Bachelor Level,Male,3,4.08,12,Mobile,0,Yes,2,PUBG,Not regular,Unpaid,3,positive,Excited,Yes,No,No
22,Bachelor Level,Male,3.69,4.92,18,Mobile,8,Yes,1,FREE FIRE,Not regular,Paid,6,positive,Excited,No,Yes,No
24,Bachelor Level,Male,3.4,4.67,5,Mobile,1,No,0,FIFA,Not regular,Unpaid,0,negative,Excited,Yes,Yes,Yes
22,Bachelor Level,Male,4,5,15,Mobile,23,Yes,1,COC,Not regular,Unpaid,2,negative,Excited,Yes,Yes,Yes
18,Bachelor Level,Male,3.54,5,15,"Mobile, PC",1,Yes,4,PUBG,Not regular,Unpaid,1,positive,Excited,No,Yes,Yes
22,Bachelor Level,Male,3.7,5,15,PC,1,Yes,1,FIFA,Not regular,Unpaid,5,positive,Excited,No,Yes,Yes
24,Master's Level,Male,3.6,3.17,17,Mobile,23,Yes,1,CALL OF DUTY,Regular,Unpaid,4,positive,Bored,Yes,No,Yes
21,Bachelor Level,Male,3.1,4.89,7,"Mobile, PC",4,No,7,PUBG,Not regular,Unpaid,1,negative,Excited,No,Yes,No
19,Bachelor Level,Male,3,5,13,Mobile,7,Yes,5,FIFA,Not regular,Unpaid,7,negative,Excited,Yes,Yes,No
21,Bachelor Level,Male,3.48,5,12,Mobile,1,No,2,COC,Not regular,Unpaid,5,positive,Excited,No,No,Yes
21,Bachelor Level,Male,2.5,5,14,"Mobile, PC",1,Yes,1,PUBG,Regular,Unpaid,0,positive,Excited,No,Yes,No
20,Bachelor Level,Male,2.33,5,14,"Mobile, PC",4,Yes,8,PUBG,Not regular,Unpaid,3,negative,Excited,Yes,Yes,No
20,Bachelor Level,Female,2.58,4.91,14,Mobile,1,No,6,CALL OF DUTY,Not regular,Unpaid,3,negative,Excited,Yes,Yes,No
21,Bachelor Level,Male,2.62,3.92,12,"Mobile, PC",4,No,7,FIFA,Not regular,Unpaid,3,negative,Excited,No,No,No
18,Bachelor Level,Male,2.5,5,12,Mobile,0,Yes,4,PUBG,Not regular,Unpaid,2,negative,Bored,Yes,Yes,No
22,Bachelor Level,Male,3.74,5,14,Mobile,1,Yes,1,FREE FIRE,Not regular,Unpaid,4,neutral,Excited,No,Yes,No
