Language;Tweet;Benefit;Concern;Perception-Fight-climate-change;Perception-Climate-friendly-technology;Perception-Extensive-R&D-needed;Perception-Better-options-than-CCS;Sentiment;Relatedness;Comment
de;",""@An_di_Arbeit @EnergyHuber That's not the point. All of that is easily possible. The only future will be CCT, carbon to capture technology.""";None;None;None;None;None;None;Positive;;
en;"The year is 2050. The worst ravages of climate change have been narrowly averted, and carbon capture tech has helped the carbon-zero world slowly return to 1900s conditions.
Historians argue this was helped primarily by the...the...
*checks notes*
Retirement funds of the 2020s? https://t.co/doprkOf6su";Reducing c. change risks;None;Yes;None;None;None;Positive;;
it;"What is Carbon Capture and Storage (#Ccs)? Not just a technology to govern the #energytransition, but also a promising developing market
https://t.co/xZ3GZAPWUA";Preventing c. change;None;Yes;None;None;None;Positive;;
fr;@GLBouchez @TinneVdS Whatever happens, security of supply must be guaranteed with the least possible CO2 impact. If it is not via nuclear reactors, it risks being via NG plants. You will have to ask for the best existing technologies, i.e. equipped with CO2 capture #CCUS;Reducing c. change risks;None;Yes;None;None;None;Positive;;
fi;Excellent thread! Towards new strengths Finland. Cooperation with Sweden is key. I would only add that, in connection with hydrogen pipes, CO2 pipes should be implemented at the same time --> enabling CO2 hubs --> sufficiently large CCUS projects. tips @GasgridFinland @TEM_uutiset @yministerio https://t.co/OJoHLtfyA1;None;None;None;None;None;None;Positive;;
de;",""Accordingly, #CCS will be worthwhile first at chemical plants, blast furnaces, cement works, fossil power plants, etc. (as long as they still exist). Calculations by the #IPCC from 2005, for example, would make fossil energy production 21...91% more expensive. https://t.co/BawWPM6pBw https://t.co/guf5Pfos0V""";None;None;Yes;None;None;None;Positive;;
ja;"By the way, I think that chemical recycling (horizontal, naphtha, oil) will progress in the second half, but I am skeptical.
Well, I'm going to put my hands on it, but I don't feel like I can't help but put it out.
It would be great if there was a breakthrough that would enable CCUS with inexhaustible energy.
(That would solve most of the problems in the world...).";None;None;None;None;None;None;Positive;;
en;@sydney_ev @Matt_KeanMP Sounds a plan.  As if!! About the only real carbon negative is CCS. All the rest are simply worthless bits of paper. Can someone tell me how growing grain in stubble is a long term reduction? I will wait. Even growing trees is selling future carbon capture.;Reducing c. change risks;None;Yes;None;None;None;Positive;;
en;@YottaMindset @ArmandDoma technology gets better and more easily scalable over time, also we still need to actually get emissions to zero - carbon capture is a medium term technology to undo the damage we've done, to be deployed after we stop doing more damage;Reducing c. change risks;None;Yes;None;None;None;Positive;;
es;"@Tinoportilla @JudithJ19321177 @paginasmexicana @CesarOReyesA @SondraM44204338 @Proarbol_Col @RafaelHoracioN2 @lorenzolizarazo @CNNVenezuela @NTN24ve @hleonardousedag @patriciajaniot @slizarazoh @nortedecorazon @MonedasColombia @colombia_hist @pamplonillalalo @BaricharaVive @AlcaldiaBaricha @alcalbarichara @CBVBarichara @TallerBarichara @ladisenoteca @GobdeSantander @OpinaSantander @ICACOLOMBIA @MinAgricultura @APinchote @TurismoSantande @ANZORC_OFICIAL @juank_2005 @figuerjoda @CaracolBga @Santandereanos_ @AmoBucaramanga @Histor1a @MinAmbienteCo @FAOAmericas @PamplonCultural @elespectador @CaracolRadio @hbonillanoticia @AyerColombia @decolombiahist @MuseosColombia @AlqueriaOficial @LilianaKleinner @uncomunero @claudiasterling Acabar las new oil and gas exploration is absurd
 
In 2050 the world will consume 90% of the oil that was consumed in 1990 and double the gas
CO2 emissions will be offset by capturing them through reforestation and CCUS
In Colombia, energy is generated from water.";Preventing c. change;None;Yes;None;None;None;Positive;;
da;,CCS and negative emissions technologies will become inevitable towards 2050. But the CCUS pool puts the cart before the horse and risks discouraging reductions here and now. A fundamental discussion is needed on the balance between real reductions and transitional solutions such as CCS 12/12;None;None;None;None;None;None;Positive;;
