pl_name,hostname,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,sy_dist
Kepler-1167 b,Kepler-1167,1.71,,1.003933739,0.0175,1419.0,4971.0,0.75,0.79,Transit,2016.0,820.905
Kepler-1740 b,Kepler-1740,3.32321414,,8.172400475,0.0779,858.0,5705.0,0.905,0.943,Transit,2021.0,1061.77
Kepler-1581 b,Kepler-1581,0.8,,6.28385491,0.06865,1108.0,6022.0,1.23,1.12,Transit,2016.0,493.175
Kepler-644 b,Kepler-644,3.15,,3.173917103,0.04641,1655.0,6747.0,1.81,1.49,Transit,2016.0,1318.05
Kepler-1752 b,Kepler-1752,4.54060463,,56.35850143,0.2698,419.0,5446.0,0.821,0.824,Transit,2021.0,962.888
Kepler-280 c,Kepler-280,2.01,,4.807091,0.056,1088.0,5744.0,0.886,0.962,Transit,2014.0,780.361
Kepler-1208 b,Kepler-1208,2.32,,11.08507637,0.0901,665.0,5001.0,0.76,0.8,Transit,2016.0,825.176
Kepler-263 c,Kepler-263,2.47,,47.332773,0.242,386.0,5265.0,0.785,0.793,Transit,2014.0,754.747
Kepler-1101 b,Kepler-1101,2.47,,81.3151059,0.3483,393.0,5614.0,0.91,0.94,Transit,2016.0,742.473
HD 168746 b,HD 168746,11.1,,6.404,0.07,900.0,5570.0,1.09,1.07,Radial Velocity,2002.0,41.5681
TOI-2406 b,TOI-2406,2.86,15.6,3.0766891,0.02267,449.0,3100.0,0.204,0.166,Transit,2021.0,55.419
HD 18599 b,HD 18599,2.6,24.1,4.1374354,0.048,863.0,5145.0,0.767,0.863,Transit,2022.0,38.5653
Kepler-560 b,Kepler-560,1.72,,18.47764449,0.0899,298.0,3556.0,0.33,0.34,Transit,2016.0,109.308
Kepler-150 d,Kepler-150,2.79,,12.56093,0.104,734.0,5560.0,0.939,0.956,Transit,2014.0,891.092
Kepler-498 b,Kepler-498,3.03,,9.61375356,0.0897,931.0,5744.0,0.96,0.98,Transit,2016.0,938.844
Kepler-817 b,Kepler-817,9.03,,3.990106229,0.0493,1124.0,5861.0,1.03,1.03,Transit,2016.0,1484.46
Kepler-937 b,Kepler-937,3.72,,67.668827,0.3214,495.0,6095.0,1.22,1.15,Transit,2016.0,1571.46
K2-10 b,K2-10,3.773,25.2,19.30553,0.137,649.0,5533.0,0.956,0.88,Transit,2015.0,272.36
Kepler-571 b,Kepler-571,2.64,,4.798599388,0.0546,978.0,5527.0,0.9,0.93,Transit,2016.0,723.875
Kepler-1458 b,Kepler-1458,2.76,,47.9872764,0.24869,493.0,5653.0,0.94,0.96,Transit,2016.0,544.45
Kepler-1600 c,Kepler-1600,1.94206512,,7.298049927,0.06961,786.0,5119.0,0.834,0.818,Transit,2021.0,1030.81
Kepler-221 d,Kepler-221,2.73,3.61,10.04156,0.087,712.0,5243.0,0.821,0.854,Transit,2014.0,385.231
Kepler-626 b,Kepler-626,2.29,,14.48585199,0.10913,784.0,5813.0,1.05,1.01,Transit,2016.0,635.643
Kepler-1549 b,Kepler-1549,2.57,,214.886545,0.6687,286.0,5324.0,0.84,0.88,Transit,2016.0,803.052
K2-62 c,K2-62,1.99,,16.19697,0.1148,495.0,4455.0,0.696,0.67,Transit,2016.0,112.467
Kepler-1149 b,Kepler-1149,1.44,,3.73089898,0.0473,1128.0,5833.0,1.01,1.02,Transit,2016.0,1217.73
Kepler-1288 b,Kepler-1288,1.12,,2.76122421,0.04135,2017.0,6132.0,1.29,1.2,Transit,2016.0,814.078
Kepler-128 b,Kepler-128,1.421,3.79,15.0,0.12545,968.0,6072.0,1.659,1.184,Transit,2013.0,396.379
Kepler-1245 b,Kepler-1245,1.44,,4.35409304,0.0484,1043.0,5306.0,0.83,0.86,Transit,2016.0,805.936
Kepler-1068 b,Kepler-1068,3.63,,16.92344113,0.13038,702.0,5806.0,1.01,1.01,Transit,2016.0,1473.61
Kepler-150 e,Kepler-150,3.12,,30.826557,0.189,544.0,5560.0,0.939,0.956,Transit,2014.0,891.092
Kepler-272 c,Kepler-272,1.79,97.8,6.057342,0.061,947.0,5297.0,0.929,0.91,Transit,2014.0,889.608
Kepler-152 c,Kepler-152,2.39,,88.255055,0.356,326.0,5088.0,0.724,0.779,Transit,2014.0,441.09
Kepler-1506 b,Kepler-1506,1.32,,14.0329154,0.1168,783.0,5676.0,0.93,0.95,Transit,2016.0,2366.02
CoRoT-3 b,CoRoT-3,11.32,6883.91,4.2568,0.05783,1695.0,6740.0,1.56,1.37,Transit,2008.0,768.771
