PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
A.J. Lawson,TOR,24.0,26,18.7,9.1,3.3,1.2,0.5,0.2,0.6,0.421,0.327,0.683,-0.7,78,179,Undrafted,Undrafted,Undrafted
AJ Green,MIL,25.0,73,22.7,7.4,2.4,1.5,0.5,0.1,0.5,0.429,0.427,0.815,3.1,76,190,Undrafted,Undrafted,Undrafted
AJ Johnson,WAS,20.0,29,22.0,7.6,2.0,2.6,0.4,0.1,1.2,0.385,0.267,0.865,-5.2,77,160,2024,1,23
Aaron Gordon,DEN,29.0,51,28.4,14.7,4.8,3.2,0.5,0.3,1.4,0.531,0.436,0.81,5.9,80,235,2014,1,4
Aaron Holiday,HOU,28.0,62,12.8,5.5,1.3,1.3,0.3,0.2,0.6,0.437,0.398,0.829,1.4,72,185,2018,1,23
Aaron Nesmith,IND,25.0,45,24.9,12.0,4.0,1.2,0.8,0.4,0.8,0.507,0.431,0.913,4.4,78,215,2020,1,14
Aaron Wiggins,OKC,26.0,76,22.9,12.0,3.9,1.8,0.8,0.2,0.9,0.488,0.383,0.831,6.8,77,190,2021,2,55
Adam Flagler,OKC,25.0,37,5.5,1.8,0.7,0.3,0.2,0.1,0.1,0.26,0.194,0.5,0.2,75,180,Undrafted,Undrafted,Undrafted
Adem Bona,PHI,22.0,58,15.6,5.8,4.2,0.5,0.4,1.2,1.1,0.703,0.0,0.67,-1.9,82,235,2024,2,41
Ajay Mitchell,OKC,23.0,36,16.6,6.5,1.9,1.8,0.7,0.1,0.8,0.495,0.383,0.829,3.5,77,190,2024,2,38
Al Horford,BOS,39.0,60,27.6,9.0,6.2,2.1,0.6,0.9,0.8,0.423,0.363,0.895,6.6,81,240,2007,1,3
Alec Burks,MIA,33.0,49,17.6,7.3,2.5,1.1,0.6,0.1,0.6,0.424,0.425,0.776,2.2,77,214,2011,1,12
Alex Caruso,OKC,31.0,54,19.3,7.1,2.9,2.5,1.6,0.6,0.7,0.446,0.353,0.824,5.9,77,186,Undrafted,Undrafted,Undrafted
Alex Ducas,OKC,24.0,21,6.0,1.7,1.2,0.2,0.2,0.0,0.2,0.4,0.476,1.0,-1.0,79,220,Undrafted,Undrafted,Undrafted
Alex Len,LAL,32.0,46,8.3,1.6,2.1,0.8,0.2,0.5,0.4,0.508,0.222,0.471,-3.3,84,250,2013,1,5
Alex Sarr,WAS,20.0,67,27.1,13.0,6.5,2.4,0.7,1.5,1.7,0.394,0.308,0.679,-8.1,84,205,2024,1,2
Alperen Sengun,HOU,22.0,76,31.5,19.1,10.3,4.9,1.1,0.8,2.6,0.496,0.233,0.692,5.4,83,243,2021,1,16
Amen Thompson,HOU,22.0,69,32.3,14.1,8.2,3.8,1.4,1.3,2.0,0.557,0.275,0.684,3.9,79,200,2023,1,4
Amir Coffey,LAC,28.0,72,24.3,9.7,2.2,1.1,0.6,0.1,0.6,0.471,0.409,0.891,-0.9,79,210,Undrafted,Undrafted,Undrafted
Andre Drummond,PHI,31.0,40,18.8,7.3,7.8,0.9,1.0,0.5,1.4,0.5,0.15,0.622,-6.1,83,279,2012,1,9
Andre Jackson Jr.,MIL,23.0,67,14.6,3.4,2.7,1.2,0.5,0.2,0.9,0.477,0.395,0.5,-0.5,78,209,2023,2,36
Andrew Nembhard,IND,25.0,65,28.9,10.0,3.3,5.0,1.2,0.2,1.7,0.458,0.291,0.794,3.1,76,191,2022,2,31
Andrew Wiggins,MIA,30.0,60,30.7,18.0,4.5,2.6,1.0,0.8,1.7,0.448,0.374,0.763,-1.7,79,197,2014,1,1
Anfernee Simons,POR,26.0,70,32.7,19.3,2.7,4.8,0.9,0.1,2.0,0.426,0.363,0.902,-3.1,75,200,2018,1,24
Anthony Black,ORL,21.0,78,24.2,9.4,2.9,3.1,1.1,0.6,1.8,0.423,0.318,0.761,-0.5,79,200,2023,1,6
Anthony Davis,DAL,32.0,51,33.4,24.7,11.6,3.5,1.2,2.2,2.2,0.516,0.282,0.775,0.5,82,253,2012,1,1
Anthony Edwards,MIN,23.0,79,36.3,27.6,5.7,4.5,1.2,0.6,3.2,0.447,0.395,0.837,3.7,76,225,2020,1,1
Anthony Gill,WAS,32.0,51,7.8,2.5,1.3,0.3,0.2,0.0,0.2,0.489,0.323,0.66,-1.4,80,230,Undrafted,Undrafted,Undrafted
Antonio Reeves,NOP,24.0,44,15.0,6.9,1.4,0.9,0.5,0.1,0.7,0.456,0.395,0.8,-3.4,77,205,2024,2,47
Ariel Hukporti,NYK,23.0,25,8.7,1.9,2.0,0.4,0.0,0.6,0.8,0.677,0.0,0.462,-2.5,83,246,2024,2,58
Ausar Thompson,DET,22.0,59,22.5,10.1,5.1,2.3,1.7,0.7,1.4,0.535,0.224,0.641,1.1,78,205,2023,1,5
Austin Reaves,LAL,27.0,73,34.9,20.2,4.5,5.8,1.1,0.3,2.4,0.46,0.377,0.877,2.7,77,197,Undrafted,Undrafted,Undrafted
Ayo Dosunmu,CHI,25.0,46,30.3,12.3,3.5,4.5,0.9,0.4,1.5,0.492,0.328,0.785,-5.1,77,200,2021,2,38
Bam Adebayo,MIA,27.0,78,34.3,18.1,9.6,4.3,1.3,0.7,2.1,0.485,0.357,0.765,0.3,81,255,2017,1,14
Baylor Scheierman,BOS,24.0,31,12.4,3.6,2.1,1.1,0.5,0.1,0.4,0.355,0.317,0.75,0.9,78,205,2024,1,30
Ben Sheppard,IND,23.0,63,19.5,5.3,2.8,1.3,0.6,0.2,0.3,0.418,0.342,0.889,-0.9,78,190,2023,1,26
Ben Simmons,LAC,28.0,51,22.0,5.0,4.7,5.6,0.7,0.5,2.0,0.52,0.0,0.727,-1.1,82,240,2016,1,1
Bennedict Mathurin,IND,23.0,72,29.9,16.1,5.3,1.9,0.7,0.3,1.9,0.458,0.34,0.831,1.3,77,210,2022,1,6
Bilal Coulibaly,WAS,20.0,59,33.0,12.3,5.0,3.4,1.3,0.7,2.1,0.421,0.281,0.746,-9.9,80,195,2023,1,7
Bismack Biyombo,SAS,32.0,28,18.8,5.1,5.6,1.1,0.6,0.8,1.0,0.588,0.0,0.4,-3.6,80,255,2011,1,7
Blake Wesley,SAS,22.0,58,11.8,3.7,1.1,2.0,0.6,0.1,0.9,0.435,0.293,0.623,-0.2,75,185,2022,1,25
Bobby Portis,MIL,30.0,49,25.4,13.9,8.4,2.1,0.7,0.5,1.2,0.466,0.365,0.836,1.9,82,250,2015,1,22
Bogdan Bogdanović,LAC,32.0,54,25.0,10.8,2.9,2.7,0.8,0.2,1.4,0.427,0.363,0.879,2.0,77,225,2014,1,27
Bol Bol,PHX,25.0,36,12.5,6.8,2.9,0.6,0.3,0.7,0.6,0.525,0.344,0.769,-1.0,87,220,2019,2,44
