tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_name,player_id,given_name,family_name,starter,substitute,minutes_played,total_goals,open_play_goals,penalty_goals,assists,is_knockout,yellow_cards,red_cards
WC-2006,2006 FIFA Men's World Cup,M-2006-21,Argentina vs Serbia and Montenegro,2006-06-16,group stage,Group C,Argentina,P-14758,Lionel,Messi,0,1,30,1,1,0,0,0,0,0
WC-2006,2006 FIFA Men's World Cup,M-2006-40,Netherlands vs Argentina,2006-06-21,group stage,Group C,Argentina,P-14758,Lionel,Messi,1,0,90,0,0,0,0,0,0,0
WC-2006,2006 FIFA Men's World Cup,M-2006-50,Argentina vs Mexico,2006-06-24,round of 16,not applicable,Argentina,P-14758,Lionel,Messi,0,1,30,0,0,0,0,1,0,0
WC-2010,2010 FIFA Men's World Cup,M-2010-04,Argentina vs Nigeria,2010-06-12,group stage,Group B,Argentina,P-14758,Lionel,Messi,1,0,90,0,0,0,0,0,0,0
WC-2010,2010 FIFA Men's World Cup,M-2010-18,Argentina vs South Korea,2010-06-17,group stage,Group B,Argentina,P-14758,Lionel,Messi,1,0,90,0,0,0,0,0,0,0
WC-2010,2010 FIFA Men's World Cup,M-2010-35,Greece vs Argentina,2010-06-22,group stage,Group B,Argentina,P-14758,Lionel,Messi,1,0,90,0,0,0,0,0,0,0
WC-2010,2010 FIFA Men's World Cup,M-2010-52,Argentina vs Mexico,2010-06-27,round of 16,not applicable,Argentina,P-14758,Lionel,Messi,1,0,90,0,0,0,0,1,0,0
WC-2010,2010 FIFA Men's World Cup,M-2010-59,Argentina vs Germany,2010-07-03,quarter-finals,not applicable,Argentina,P-14758,Lionel,Messi,1,0,90,0,0,0,0,1,0,0
WC-2014,2014 FIFA Men's World Cup,M-2014-11,Argentina vs Bosnia and Herzegovina,2014-06-15,group stage,Group F,Argentina,P-14758,Lionel,Messi,1,0,90,1,1,0,0,0,0,0
WC-2014,2014 FIFA Men's World Cup,M-2014-27,Argentina vs Iran,2014-06-21,group stage,Group F,Argentina,P-14758,Lionel,Messi,1,0,90,1,1,0,0,0,0,0
