title,score,scored_by,rank,popularity,members,favorites,episodes,type,source,status,year,season,rating,duration,genres,themes,demographics,studios,producers,licensors
Frieren: Beyond Journey's End,9.26,906988,1.0,103,1470685,91153,28.0,TV,Manga,Finished Airing,2023.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Adventure, Award Winning, Drama, Fantasy",,Shounen,Madhouse,"Aniplex, Dentsu, Shogakukan-Shueisha Productions, Nippon Television Network, TOHO animation, Shogakukan",Crunchyroll
Re:ZERO -Starting Life in Another World- Season 4,9.19,76899,2.0,1015,278785,6098,19.0,TV,Light novel,Currently Airing,2026.0,spring,R - 17+ (violence & profanity),23 min per ep,"Drama, Fantasy, Suspense","Isekai, Psychological, Time Travel",,White Fox,"AT-X, Magic Capsule, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa, DAXEL",
Fullmetal Alchemist: Brotherhood,9.11,2324176,3.0,3,3705252,243877,64.0,TV,Manga,Finished Airing,2009.0,spring,R - 17+ (violence & profanity),24 min per ep,"Action, Adventure, Drama, Fantasy",Military,Shounen,Bones,"Aniplex, Square Enix, Mainichi Broadcasting System, Techno Sound","Funimation, Aniplex of America"
Steel Ball Run: JoJo's Bizarre Adventure,9.11,99102,4.0,1300,218034,7481,,ONA,Manga,Currently Airing,,,R - 17+ (violence & profanity),47 min,"Action, Adventure, Mystery, Supernatural","Historical, Racing","Seinen, Shounen",David Production,"Warner Bros. Japan, Studio Mausu, ONEMUSIC",
Steins;Gate,9.07,1528890,5.0,14,2829293,203509,24.0,TV,Visual novel,Finished Airing,2011.0,spring,PG-13 - Teens 13 or older,24 min per ep,"Drama, Sci-Fi, Suspense","Psychological, Time Travel",,White Fox,"Frontier Works, Media Factory, Kadokawa Shoten, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus, MAGES.",Funimation
Chainsaw Man – The Movie: Reze Arc,9.06,328255,6.0,520,508650,14487,1.0,Movie,Manga,Finished Airing,,,R - 17+ (violence & profanity),1 hr 39 min,"Action, Fantasy","Gore, Urban Fantasy",Shounen,MAPPA,,
Gintama: The Very Final,9.05,87911,7.0,1506,186018,4698,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 44 min,"Action, Comedy, Drama, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,Bandai Namco Pictures,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",Eleven Arts
Gintama Season 4,9.05,273824,8.0,349,695204,17583,51.0,TV,Manga,Finished Airing,2015.0,spring,PG-13 - Teens 13 or older,24 min per ep,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,Bandai Namco Pictures,"TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll"
Attack on Titan Season 3 Part 2,9.05,1806922,9.0,20,2612946,63577,10.0,TV,Manga,Finished Airing,2019.0,spring,R - 17+ (violence & profanity),23 min per ep,"Action, Drama, Suspense","Gore, Military, Survival",Shounen,Wit Studio,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation
Hunter x Hunter (2011),9.03,1993263,10.0,8,3210557,230548,148.0,TV,Manga,Finished Airing,2011.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Action, Adventure, Fantasy",,Shounen,Madhouse,"VAP, Nippon Television Network, Shueisha",VIZ Media
Legend of the Galactic Heroes,9.02,88482,11.0,757,365867,18005,110.0,OVA,Novel,Finished Airing,,,R - 17+ (violence & profanity),26 min per ep,"Drama, Sci-Fi","Adult Cast, Military, Space",,"K-Factory, Kitty Film Mitaka Studio","TV Tokyo, Kitty Films, Tokuma Shoten, Tokuma Japan Communications, Wright Staff",Sentai Filmworks
Gintama Season 2,9.02,259120,12.0,408,617873,8653,51.0,TV,Manga,Finished Airing,2011.0,spring,PG-13 - Teens 13 or older,24 min per ep,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,Sunrise,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Shueisha",
Gintama: Enchousen,9.02,180210,13.0,766,360087,3188,13.0,TV,Manga,Finished Airing,2012.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,Sunrise,"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",
One Piece Fan Letter,9.01,114816,14.0,1698,159975,2624,1.0,TV Special,Light novel,Finished Airing,,,PG-13 - Teens 13 or older,24 min,"Action, Adventure, Fantasy",,Shounen,Toei Animation,,
Bleach: Thousand-Year Blood War,8.98,387868,15.0,332,715955,23377,13.0,TV,Manga,Finished Airing,2022.0,fall,R - 17+ (violence & profanity),24 min per ep,"Action, Adventure, Supernatural",,Shounen,Studio Pierrot,"TV Tokyo, Aniplex, Dentsu, Shueisha",VIZ Media
Gintama Season 5,8.98,160971,16.0,793,350781,2858,12.0,TV,Manga,Finished Airing,2017.0,winter,PG-13 - Teens 13 or older,24 min per ep,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,Bandai Namco Pictures,"TV Tokyo, Aniplex, Dentsu, Shueisha",
