section,date,time,team1,score1,score2,team2,venue,raw
Group A,Nov 20 2022,19:00,Qatar,0,2,Ecuador,"Al Bayt Stadium, Al Khor","19:00 Qatar 0-2 (0-2) Ecuador @ Al Bayt Stadium, Al Khor"
Group A,Nov 21 2022,19:00,Senegal,0,2,Netherlands,"Al Thumama Stadium, Doha","19:00 Senegal 0-2 (0-0) Netherlands @ Al Thumama Stadium, Doha"
Group A,Nov 25 2022,16:00,Qatar,1,3,Senegal,"Al Thumama Stadium, Doha","16:00 Qatar 1-3 (0-1) Senegal @ Al Thumama Stadium, Doha"
Group A,Nov 25 2022,19:00,Netherlands,1,1,Ecuador,"Khalifa International Stadium, Al Rayyan","19:00 Netherlands 1-1 (1-0) Ecuador @ Khalifa International Stadium, Al Rayyan"
Group A,Nov 29 2022,18:00,Ecuador,1,2,Senegal,"Khalifa International Stadium, Al Rayyan","18:00 Ecuador 1-2 (0-1) Senegal @ Khalifa International Stadium, Al Rayyan"
Group B,Nov 21 2022,16:00,England,6,2,Iran,"Khalifa International Stadium, Al Rayyan","16:00 England 6-2 (3-0) Iran @ Khalifa International Stadium, Al Rayyan"
Group B,Nov 21 2022,22:00,USA,1,1,Wales,"Ahmad bin Ali Stadium, Al Rayyan","22:00 USA 1-1 (1-0) Wales @ Ahmad bin Ali Stadium, Al Rayyan"
Group B,Nov 25 2022,13:00,Wales,0,2,Iran,"Ahmad bin Ali Stadium, Al Rayyan","13:00 Wales 0-2 (0-0) Iran @ Ahmad bin Ali Stadium, Al Rayyan"
Group B,Nov 25 2022,22:00,England,0,0,USA,"Al Bayt Stadium, Al Khor","22:00 England 0-0 USA @ Al Bayt Stadium, Al Khor"
Group B,Nov 29 2022,22:00,Wales,0,3,England,"Ahmad bin Ali Stadium, Al Rayyan","22:00 Wales 0-3 (0-0) England @ Ahmad bin Ali Stadium, Al Rayyan"
Group B,Nov 29 2022,22:00,Iran,0,1,USA,"Al Thumama Stadium, Doha","22:00 Iran 0-1 (0-1) USA @ Al Thumama Stadium, Doha"
Group C,Nov 22 2022,13:00,Argentina,1,2,Saudi Arabia,"Lusail Iconic Stadium, Lusail","13:00 Argentina 1-2 (1-0) Saudi Arabia @ Lusail Iconic Stadium, Lusail"
Group C,Nov 22 2022,19:00,Mexico,0,0,Poland,"Stadium 974, Doha","19:00 Mexico 0-0 Poland @ Stadium 974, Doha"
Group C,Nov 26 2022,16:00,Poland,2,0,Saudi Arabia,"Education City Stadium, Al Rayyan","16:00 Poland 2-0 (1-0) Saudi Arabia @ Education City Stadium, Al Rayyan"
Group C,Nov 26 2022,22:00,Argentina,2,0,Mexico,"Lusail Iconic Stadium, Lusail","22:00 Argentina 2-0 (0-0) Mexico @ Lusail Iconic Stadium, Lusail"
Group C,Nov 30 2022,22:00,Poland,0,2,Argentina,"Stadium 974, Doha","22:00 Poland 0-2 (0-0) Argentina @ Stadium 974, Doha"
Group C,Nov 30 2022,22:00,Saudi Arabia,1,2,Mexico,"Lusail Iconic Stadium, Lusail","22:00 Saudi Arabia 1-2 (0-0) Mexico @ Lusail Iconic Stadium, Lusail"
Group D,Nov 22 2022,16:00,Denmark,0,0,Tunisia,"Education City Stadium, Al Rayyan","16:00 Denmark 0-0 Tunisia @ Education City Stadium, Al Rayyan"
Group D,Nov 22 2022,22:00,France,4,1,Australia,"Al Janoub Stadium, Al Wakrah","22:00 France 4-1 (2-1) Australia @ Al Janoub Stadium, Al Wakrah"
Group D,Nov 26 2022,13:00,Tunisia,0,1,Australia,"Al Janoub Stadium, Al Wakrah","13:00 Tunisia 0-1 (0-1) Australia @ Al Janoub Stadium, Al Wakrah"
Group D,Nov 26 2022,19:00,France,2,1,Denmark,"Stadium 974, Doha","19:00 France 2-1 (0-0) Denmark @ Stadium 974, Doha"
Group D,Nov 30 2022,18:00,Australia,1,0,Denmark,"Al Janoub Stadium, Al Wakrah","18:00 Australia 1-0 (0-0) Denmark @ Al Janoub Stadium, Al Wakrah"
Group E,Nov 23 2022,16:00,Germany,1,2,Japan,"Khalifa International Stadium, Al Rayyan","16:00 Germany 1-2 (1-0) Japan @ Khalifa International Stadium, Al Rayyan"
Group E,Nov 23 2022,19:00,Spain,7,0,Costa Rica,"Al Thumama Stadium, Doha","19:00 Spain 7-0 (3-0) Costa Rica @ Al Thumama Stadium, Doha"
Group E,Nov 27 2022,13:00,Japan,0,1,Costa Rica,"Ahmad bin Ali Stadium, Al Rayyan","13:00 Japan 0-1 (0-0) Costa Rica @ Ahmad bin Ali Stadium, Al Rayyan"
Group E,Nov 27 2022,22:00,Spain,1,1,Germany,"Al Bayt Stadium, Al Khor","22:00 Spain 1-1 (0-0) Germany @ Al Bayt Stadium, Al Khor"
Group E,Dec 1 2022,22:00,Japan,2,1,Spain,"Khalifa International Stadium, Al Rayyan","22:00 Japan 2-1 (0-0) Spain @ Khalifa International Stadium, Al Rayyan"
Group F,Nov 23 2022,13:00,Morocco,0,0,Croatia,"Al Bayt Stadium, Al Khor","13:00 Morocco 0-0 Croatia @ Al Bayt Stadium, Al Khor"
Group F,Nov 23 2022,22:00,Belgium,1,0,Canada,"Ahmad bin Ali Stadium, Al Rayyan","22:00 Belgium 1-0 (1-0) Canada @ Ahmad bin Ali Stadium, Al Rayyan"
Group F,Nov 27 2022,16:00,Belgium,0,2,Morocco,"Al Thumama Stadium, Doha","16:00 Belgium 0-2 (0-0) Morocco @ Al Thumama Stadium, Doha"
Group F,Nov 27 2022,19:00,Croatia,4,1,Canada,"Khalifa International Stadium, Al Rayyan","19:00 Croatia 4-1 (2-1) Canada @ Khalifa International Stadium, Al Rayyan"
Group F,Dec 1 2022,18:00,Croatia,0,0,Belgium,"Ahmad bin Ali Stadium, Al Rayyan","18:00 Croatia 0-0 Belgium @ Ahmad bin Ali Stadium, Al Rayyan"
Group F,Dec 1 2022,18:00,Canada,1,2,Morocco,"Al Thumama Stadium, Doha","18:00 Canada 1-2 (1-2) Morocco @ Al Thumama Stadium, Doha"
Group G,Nov 24 2022,13:00,Switzerland,1,0,Cameroon,"Al Janoub Stadium, Al Wakrah","13:00 Switzerland 1-0 (0-0) Cameroon @ Al Janoub Stadium, Al Wakrah"
Group G,Nov 24 2022,22:00,Brazil,2,0,Serbia,"Lusail Iconic Stadium, Lusail","22:00 Brazil 2-0 (0-0) Serbia @ Lusail Iconic Stadium, Lusail"
Group G,Nov 28 2022,13:00,Cameroon,3,3,Serbia,"Al Janoub Stadium, Al Wakrah","13:00 Cameroon 3-3 (1-2) Serbia @ Al Janoub Stadium, Al Wakrah"
Group G,Nov 28 2022,19:00,Brazil,1,0,Switzerland,"Stadium 974, Doha","19:00 Brazil 1-0 (0-0) Switzerland @ Stadium 974, Doha"
Group G,Dec 2 2022,22:00,Serbia,2,3,Switzerland,"Stadium 974, Doha","22:00 Serbia 2-3 (2-1) Switzerland @ Stadium 974, Doha"
Group G,Dec 2 2022,22:00,Cameroon,1,0,Brazil,"Lusail Iconic Stadium, Lusail","22:00 Cameroon 1-0 (0-0) Brazil @ Lusail Iconic Stadium, Lusail"
Group H,Nov 24 2022,16:00,Uruguay,0,0,South Korea,"Education City Stadium, Al Rayyan","16:00 Uruguay 0-0 South Korea @ Education City Stadium, Al Rayyan"
