"High School Youth Risk Behavior Survey | All Questions | United States | All Years | "
Question,1991 Percent(%),1991 Lower CI,1991 Upper CI,1991 Sample Size(N),1993 Percent(%),1993 Lower CI,1993 Upper CI,1993 Sample Size(N),1995 Percent(%),1995 Lower CI,1995 Upper CI,1995 Sample Size(N),1997 Percent(%),1997 Lower CI,1997 Upper CI,1997 Sample Size(N),1999 Percent(%),1999 Lower CI,1999 Upper CI,1999 Sample Size(N),2001 Percent(%),2001 Lower CI,2001 Upper CI,2001 Sample Size(N),2003 Percent(%),2003 Lower CI,2003 Upper CI,2003 Sample Size(N),2005 Percent(%),2005 Lower CI,2005 Upper CI,2005 Sample Size(N),2007 Percent(%),2007 Lower CI,2007 Upper CI,2007 Sample Size(N),2009 Percent(%),2009 Lower CI,2009 Upper CI,2009 Sample Size(N),2011 Percent(%),2011 Lower CI,2011 Upper CI,2011 Sample Size(N),2013 Percent(%),2013 Lower CI,2013 Upper CI,2013 Sample Size(N),2015 Percent(%),2015 Lower CI,2015 Upper CI,2015 Sample Size(N),2017 Percent(%),2017 Lower CI,2017 Upper CI,2017 Sample Size(N),2019 Percent(%),2019 Lower CI,2019 Upper CI,2019 Sample Size(N),2021 Percent(%),2021 Lower CI,2021 Upper CI,2021 Sample Size(N)
Unintentional Injuries and Violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Never smoked a cigarette",29.9,27.7,32.2,12115,30.5,29.2,31.9,16155,28.7,27.0,30.5,10471,29.8,27.9,31.8,15832,29.6,26.7,32.7,14888,36.1,34.0,38.4,13238,41.6,38.4,44.9,14739,45.7,42.7,48.8,13168,49.7,46.5,52.8,13601,53.7,51.1,56.3,15888,55.3,52.8,57.7,13359,58.9,56.2,61.6,13203,67.7,64.2,71.1,13799,71.1,68.0,74.0,11912,75.9,73.0,78.7,9969,82.2,80.1,84.1,13622
"Did not smoke a cigarette before age 13 years",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,90.5,88.8,92.0,11914,92.1,90.9,93.3,12302,93.7,92.6,94.6,15682
"Did not currently smoke cigarettes",72.5,69.7,75.2,11746,69.5,67.6,71.4,15698,65.2,62.8,67.5,10473,63.6,61.3,65.9,15124,65.2,62.6,67.7,14812,71.5,69.4,73.6,12960,78.1,75.8,80.2,14335,77.0,74.5,79.3,13284,80.0,77.4,82.4,13323,80.5,78.8,82.1,15762,81.9,80.5,83.3,14743,84.3,81.9,86.5,13022,89.2,87.6,90.6,14989,91.2,89.3,92.8,14407,94.0,92.8,95.0,12317,96.2,95.6,96.7,16912
"Did not currently smoke cigarettes frequently",87.3,84.7,89.4,11746,86.2,84.5,87.9,15698,83.9,80.9,86.4,10473,83.3,81.3,85.2,15124,83.2,80.4,85.7,14812,86.2,84.5,87.7,12960,90.3,88.7,91.7,14335,90.6,89.0,92.1,13284,91.9,90.2,93.3,13323,92.7,91.7,93.6,15762,93.6,92.9,94.2,14743,94.4,92.9,95.6,13022,96.6,95.7,97.4,14989,97.4,96.3,98.1,14407,98.7,98.2,99.0,12317,99.3,99.0,99.4,16912
"Did not currently smoke cigarettes daily",90.2,87.8,92.2,11746,90.0,88.3,91.4,15698,87.8,85.5,89.7,10473,87.8,85.9,89.5,15124,87.2,84.6,89.3,14812,89.7,88.4,91.0,12960,92.4,91.1,93.6,14335,92.8,91.5,94.0,13284,93.9,92.4,95.0,13323,94.7,93.8,95.4,15762,95.2,94.5,95.9,14743,96.0,94.7,97.0,13022,97.7,97.0,98.3,14989,98.0,97.1,98.6,14407,98.9,98.5,99.2,12317,99.4,99.2,99.6,16912
"Did not smoke more than 10 cigarettes per day",82.0,77.0,86.0,2904,84.9,82.8,86.8,4435,83.8,80.3,86.7,3349,86.2,83.8,88.4,4825,85.1,82.2,87.6,4531,85.6,83.2,87.7,3328,86.3,84.1,88.2,3198,89.3,87.4,90.9,2743,89.3,87.4,91.0,2541,92.2,91.0,93.4,2940,92.2,90.3,93.7,2390,91.4,88.8,93.4,1809,92.1,90.1,93.8,1611,90.3,88.0,92.2,938,91.9,87.2,94.9,569,90.2,86.2,93.1,423
"Never used electronic vapor products",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,55.1,52.0,58.1,15091,57.8,54.8,60.7,14313,49.9,47.8,51.9,13205,63.8,61.2,66.3,16806
"Did not currently use electronic vapor products",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,75.9,73.8,77.9,15318,86.8,84.8,88.6,12844,67.3,65.2,69.3,12767,82.0,80.2,83.7,16077
"Did not currently use electronic vapor products frequently",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,97.0,96.4,97.6,15318,96.7,95.8,97.4,12844,89.3,88.1,90.5,12767,92.7,91.6,93.8,16077
"Did not currently use electronic vapor products daily",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,98.0,97.5,98.4,15318,97.6,97.0,98.0,12844,92.8,91.7,93.8,12767,95.0,94.3,95.6,16077
"Did not usually get their own electronic vapor products by buying them in a convenience store, supermarket, discount store, or gas station",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,93.2,91.5,94.5,2459
"Did not currently use smokeless tobacco",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,94.5,93.3,95.6,14471,96.2,95.4,96.8,12791,97.5,97.0,98.0,16253
"Did not currently use smokeless tobacco frequently",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,97.9,97.2,98.5,14471,98.9,98.4,99.3,12791,99.4,99.2,99.6,16253
"Did not currently use smokeless tobacco daily",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,98.4,97.7,98.9,14471,99.1,98.5,99.4,12791,99.5,99.3,99.6,16253
"Did not currently smoke cigars",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,82.3,80.5,83.9,15254,84.8,83.5,86.0,13326,85.2,83.3,86.8,15053,86.0,84.4,87.4,13319,86.4,84.8,87.9,13478,86.0,84.6,87.2,15671,86.9,85.9,87.8,14566,87.4,86.1,88.6,13342,89.7,88.2,91.0,15185,92.0,91.1,92.8,14411,94.3,93.3,95.2,12805,96.9,96.3,97.4,16030
"Did not currently smoke cigars frequently",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,98.4,97.8,98.8,15254,98.7,98.3,98.9,13326,98.1,97.4,98.6,15053,98.7,98.4,99.0,13319,98.3,98.0,98.6,13478,98.3,97.9,98.6,15671,98.1,97.7,98.4,14566,98.2,97.8,98.5,13342,98.7,98.2,99.0,15185,98.7,98.4,99.0,14411,98.9,98.6,99.2,12805,99.4,99.2,99.5,16030
"Did not currently smoke cigars daily",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,98.9,98.6,99.2,15254,99.1,98.8,99.3,13326,98.6,97.9,99.0,15053,99.0,98.8,99.2,13319,98.7,98.4,98.9,13478,98.7,98.4,99.0,15671,98.6,98.3,98.9,14566,98.7,98.4,99.0,13342,99.0,98.7,99.3,15185,99.0,98.8,99.2,14411,99.2,98.9,99.4,12805,99.5,99.3,99.6,16030
"Tried to quit using all tobacco products",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,41.4,38.9,44.0,2387,47.6,45.1,50.1,2589,54.2,51.5,56.8,3084
"Did not have their first drink of alcohol before age 13 years",67.3,64.7,69.8,11339,67.1,65.6,68.6,15043,67.6,65.1,70.1,10110,68.9,67.1,70.6,14902,67.8,65.2,70.2,13924,70.9,69.3,72.5,12299,72.2,70.0,74.3,13630,74.4,72.6,76.2,12607,76.2,74.3,78.1,13755,78.9,77.4,80.4,16207,79.5,78.2,80.8,15094,81.4,80.0,82.8,13308,82.8,81.6,84.0,15257,84.5,82.8,86.1,13606,85.0,83.6,86.3,13186,85.0,83.4,86.4,16513
"Did not currently drink alcohol",49.2,46.3,52.1,11665,52.0,49.8,54.1,15459,48.4,45.9,50.8,10327,49.2,46.4,52.1,15426,50.0,47.3,52.6,14670,52.9,50.7,55.2,12863,55.1,52.6,57.5,14145,56.7,53.9,59.5,13235,55.3,53.0,57.6,12669,58.2,56.6,59.8,14864,61.3,59.7,62.8,13943,65.1,62.9,67.2,12288,67.2,64.8,69.6,14114,70.2,67.6,72.7,12984,70.8,68.8,72.7,12611,77.3,75.6,78.9,16234
"Were not currently binge drinking",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,86.5,84.9,88.0,13675,86.3,84.8,87.7,12020,89.5,88.2,90.7,12596
"Did not usually obtain the alcohol they drank by someone giving it to them",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,58.3,56.3,60.3,5626,57.8,55.9,59.7,6121,60.0,57.5,62.5,4992,58.2,55.9,60.6,4239,55.9,53.6,58.1,4436,56.5,54.0,59.0,2943,59.5,57.1,61.8,2882,59.9,55.9,63.8,2256
"Did not report that the largest number of drinks they had in a row was 10 or more",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,93.9,92.9,94.8,12363,95.7,94.9,96.4,11597,95.6,94.7,96.4,10127,96.9,96.2,97.5,8895,97.3,96.8,97.7,12309
"Never used marijuana",68.7,65.6,71.6,12080,67.2,63.8,70.4,16041,57.6,54.5,60.6,10717,52.9,49.9,55.9,16026,52.8,50.3,55.3,15096,57.6,55.7,59.5,13338,59.8,56.9,62.6,14844,61.6,59.0,64.1,13623,61.9,59.3,64.5,13632,63.2,61.2,65.2,16060,60.1,57.9,62.2,14925,59.3,56.5,62.1,13244,61.4,58.2,64.5,15157,64.4,61.7,67.0,14282,63.2,60.8,65.6,11659,72.2,69.7,74.5,13899
