gender,math score,reading score,writing score
female,72.0,72.0,74.0
female,69.0,90.0,88.0
female,90.0,95.0,93.0
male,47.0,57.0,44.0
male,76.0,78.0,75.0
female,71.0,83.0,78.0
female,88.0,95.0,92.0
male,40.0,43.0,39.0
male,64.0,64.0,67.0
female,38.0,60.0,50.0
male,58.0,54.0,52.0
male,40.0,52.0,43.0
female,65.0,81.0,73.0
male,78.0,72.0,70.0
female,50.0,53.0,58.0
female,69.0,75.0,78.0
male,88.0,89.0,86.0
female,18.0,32.0,28.0
male,46.0,42.0,46.0
female,54.0,58.0,61.0
male,66.0,69.0,63.0
female,65.0,75.0,70.0
male,44.0,54.0,53.0
female,69.0,73.0,73.0
male,74.0,71.0,80.0
male,73.0,74.0,72.0
male,69.0,54.0,55.0
female,67.0,69.0,75.0
male,70.0,70.0,65.0
female,62.0,70.0,75.0
female,69.0,74.0,74.0
female,63.0,65.0,61.0
female,56.0,72.0,65.0
male,40.0,42.0,38.0
male,97.0,87.0,82.0
male,81.0,81.0,79.0
female,74.0,81.0,83.0
female,50.0,64.0,59.0
female,75.0,90.0,88.0
male,57.0,56.0,57.0
male,55.0,61.0,54.0
female,58.0,73.0,68.0
female,53.0,58.0,65.0
male,59.0,65.0,66.0
female,50.0,56.0,54.0
male,65.0,54.0,57.0
female,55.0,65.0,62.0
female,66.0,71.0,76.0
female,57.0,74.0,76.0
male,82.0,84.0,82.0
male,53.0,55.0,48.0
male,77.0,69.0,68.0
male,53.0,44.0,42.0
male,88.0,78.0,75.0
female,71.0,84.0,87.0
female,33.0,41.0,43.0
female,82.0,85.0,86.0
male,52.0,55.0,49.0
male,58.0,59.0,58.0
female,0.0,17.0,10.0
male,79.0,74.0,72.0
male,39.0,39.0,34.0
male,62.0,61.0,55.0
female,69.0,80.0,71.0
female,59.0,58.0,59.0
male,67.0,64.0,61.0
male,45.0,37.0,37.0
female,60.0,72.0,74.0
male,61.0,58.0,56.0
female,39.0,64.0,57.0
female,58.0,63.0,73.0
male,63.0,55.0,63.0
female,41.0,51.0,48.0
male,61.0,57.0,56.0
male,49.0,49.0,41.0
male,44.0,41.0,38.0
male,30.0,26.0,22.0
male,80.0,78.0,81.0
female,61.0,74.0,72.0
female,62.0,68.0,68.0
female,47.0,49.0,50.0
male,49.0,45.0,45.0
male,50.0,47.0,54.0
male,72.0,64.0,63.0
male,42.0,39.0,34.0
female,73.0,80.0,82.0
female,76.0,83.0,88.0
female,71.0,71.0,74.0
female,58.0,70.0,67.0
female,73.0,86.0,82.0
female,65.0,72.0,74.0
male,27.0,34.0,36.0
male,71.0,79.0,71.0
male,43.0,45.0,50.0
female,79.0,86.0,92.0
male,78.0,81.0,82.0
male,65.0,66.0,62.0
female,63.0,72.0,70.0
female,58.0,67.0,62.0
female,65.0,67.0,62.0
male,79.0,67.0,67.0
male,68.0,74.0,74.0
female,85.0,91.0,89.0
male,60.0,44.0,47.0
male,98.0,86.0,90.0
female,58.0,67.0,72.0
female,87.0,100.0,100.0
male,66.0,63.0,64.0
female,52.0,76.0,70.0
female,70.0,64.0,72.0
female,77.0,89.0,98.0
male,62.0,55.0,49.0
male,54.0,53.0,47.0
female,51.0,58.0,54.0
female,99.0,100.0,100.0
male,84.0,77.0,74.0
female,75.0,85.0,82.0
female,78.0,82.0,79.0
female,51.0,63.0,61.0
female,55.0,69.0,65.0
female,79.0,92.0,89.0
male,91.0,89.0,92.0
female,88.0,93.0,93.0
male,63.0,57.0,56.0
male,83.0,80.0,73.0
female,87.0,95.0,86.0
male,72.0,68.0,67.0
male,65.0,77.0,74.0
male,82.0,82.0,74.0
female,51.0,49.0,51.0
male,89.0,84.0,82.0
male,53.0,37.0,40.0
male,87.0,74.0,70.0
female,75.0,81.0,84.0
male,74.0,79.0,75.0
male,58.0,55.0,48.0
male,51.0,54.0,41.0
male,70.0,55.0,56.0
female,59.0,66.0,67.0
male,71.0,61.0,69.0
female,76.0,72.0,71.0
female,59.0,62.0,64.0
female,42.0,55.0,54.0
male,57.0,43.0,47.0
male,88.0,73.0,78.0
female,22.0,39.0,33.0
male,88.0,84.0,75.0
male,73.0,68.0,66.0
female,68.0,75.0,81.0
male,100.0,100.0,93.0
