PassengerId,Survived,Pclass,Sex,Age,SiblingsSpouses,ParentsChildren,Fare,Embarked
1,0,3,male,22.0,1,0,7.25,S
2,1,1,female,38.0,1,0,71.2833,C
3,1,3,female,26.0,0,0,7.925,S
4,1,1,female,35.0,1,0,53.1,S
5,0,3,male,35.0,0,0,8.05,S
6,0,1,male,54.0,0,0,51.8625,S
7,0,3,male,2.0,3,1,21.075,S
8,1,3,female,27.0,0,2,11.1333,S
9,1,2,female,14.0,1,0,30.0708,C
10,1,3,female,4.0,1,1,16.7,S
11,1,1,female,58.0,0,0,26.55,S
12,0,3,male,20.0,0,0,8.05,S
13,0,3,male,39.0,1,5,31.275,S
14,0,3,female,14.0,0,0,7.8542,S
15,1,2,female,55.0,0,0,16.0,S
16,0,3,male,2.0,4,1,29.125,Q
17,0,3,female,31.0,1,0,18.0,S
18,0,2,male,35.0,0,0,26.0,S
19,1,2,male,34.0,0,0,13.0,S
20,1,3,female,15.0,0,0,8.0292,Q
21,1,1,male,28.0,0,0,35.5,S
22,0,3,female,8.0,3,1,21.075,S
23,1,3,female,38.0,1,5,31.3875,S
24,0,1,male,19.0,3,2,263.0,S
25,0,1,male,40.0,0,0,27.7208,C
26,0,2,male,66.0,0,0,10.5,S
27,0,1,male,28.0,1,0,82.1708,C
28,0,1,male,42.0,1,0,52.0,S
29,0,3,male,21.0,0,0,8.05,S
30,0,3,female,18.0,2,0,18.0,S
31,1,3,female,14.0,1,0,11.2417,C
32,0,3,female,40.0,1,0,9.475,S
33,0,2,female,27.0,1,0,21.0,S
34,1,2,female,3.0,1,2,41.5792,C
35,1,3,female,19.0,0,0,7.8792,Q
36,0,3,female,18.0,1,0,17.8,S
37,0,3,male,7.0,4,1,39.6875,S
38,0,3,male,21.0,0,0,7.8,S
39,1,1,female,49.0,1,0,76.7292,C
40,1,2,female,29.0,1,0,26.0,S
41,0,1,male,65.0,0,1,61.9792,C
42,1,2,female,21.0,0,0,10.5,S
43,0,3,male,28.5,0,0,7.2292,C
44,1,2,female,5.0,1,2,27.75,S
45,0,3,male,11.0,5,2,46.9,S
46,0,3,male,22.0,0,0,7.2292,C
47,0,1,male,45.0,1,0,83.475,S
48,0,3,male,4.0,3,2,27.9,S
49,1,2,female,29.0,0,0,10.5,S
50,0,3,male,19.0,0,0,8.1583,S
51,1,3,female,17.0,4,2,7.925,S
52,0,3,male,26.0,2,0,8.6625,S
53,0,2,male,32.0,0,0,10.5,S
54,0,3,female,16.0,5,2,46.9,S
55,0,2,male,21.0,0,0,73.5,S
56,0,3,male,26.0,1,0,14.4542,C
57,1,3,male,32.0,0,0,56.4958,S
58,0,3,male,25.0,0,0,7.65,S
59,1,2,male,0.83,0,2,29.0,S
60,1,3,female,30.0,0,0,12.475,S
61,0,3,male,22.0,0,0,9.0,S
62,1,3,male,29.0,0,0,9.5,S
63,0,1,male,28.0,0,0,47.1,S
64,1,2,female,17.0,0,0,10.5,S
65,1,3,female,33.0,3,0,15.85,S
66,0,3,male,16.0,1,3,34.375,S
67,1,1,female,23.0,3,2,263.0,S
68,0,3,male,24.0,0,0,8.05,S
69,0,3,male,29.0,0,0,8.05,S
70,0,3,male,20.0,0,0,7.8542,S
71,0,1,male,46.0,1,0,61.175,S
72,0,3,male,26.0,1,2,20.575,S
73,0,3,male,59.0,0,0,7.25,S
74,0,1,male,71.0,0,0,34.6542,C
75,1,1,male,23.0,0,1,63.3583,C
76,1,2,female,34.0,0,1,23.0,S
77,0,2,male,34.0,1,0,26.0,S
78,0,3,female,28.0,0,0,7.8958,S
79,0,1,male,21.0,0,1,77.2875,S
80,0,3,male,33.0,0,0,8.6542,S
81,0,3,male,37.0,2,0,7.925,S
82,0,3,male,28.0,0,0,7.8958,S
83,1,3,female,21.0,0,0,7.65,S
84,0,3,male,38.0,0,0,7.8958,S
85,0,1,male,47.0,0,0,52.0,S
86,0,3,female,14.5,1,0,14.4542,C
87,0,3,male,22.0,0,0,8.05,S
88,0,3,female,20.0,1,0,9.825,S
89,0,3,female,17.0,0,0,14.4583,C
90,0,3,male,21.0,0,0,7.925,S
91,0,3,male,70.5,0,0,7.75,Q
92,0,2,male,29.0,1,0,21.0,S
93,0,1,male,24.0,0,1,247.5208,C
94,0,3,female,2.0,4,2,31.275,S
95,0,2,male,21.0,2,0,73.5,S
96,0,2,male,32.5,1,0,30.0708,C
97,1,2,female,32.5,0,0,13.0,S
98,0,1,male,54.0,0,1,77.2875,S
